Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,final,RAJNEESH KUMAR,27-Jun-2026 03:57 PM,,22-Jul-2026,"INR 1,280,524",90.0,Chaman Srivastava,22-Jul-2026 06:07 PM,WARDNO1HANSARI.pdf (327.00 KB),FINAL,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,27-Jun-2026 03:59 PM,30-Jun-2026 12:30 PM,techsummary_2151176.pdf (281.91 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1148834_32,85/RED/Tender/2025-26 Dated-08.04.2026,"Ward no 01, hansari muktidhaam va ward no 07 main ek-ek mini solar pump ki sthapana ka karya",1,6158965,M/S MAA SHAKUNTALA CONSTRUCTION,03-Jun-2026 05:42 AM,Rejected-Finance,N,22-Jul-2026 06:06 PM,Finance,FINAL,Chaman Srivastava,22-Jul-2026 06:04 PM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,Chaman Srivastava,22-Jul-2026 06:06 PM,finsummary_2151176.pdf (326.98 KB),1.0,6158934.0,SUNIL PARASHAR,INR,"1,280,524",AOC,EE RED Jhansi,EE RED Jhansi,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,85/RED/Tender/2025-26 Dated-08.04.2026,2026_REDUP_1148834_32,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"26,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,sbd,1.0,date extand,Date,,16-May-2026 09:00 AM,08-Jun-2026 03:30 PM,16-May-2026 09:00 AM,08-Jun-2026 12:00 PM,NA ,NA ,16-May-2026 09:00 AM,08-Jun-2026 12:00 PM,30-Jun-2026 12:30 PM,"Ward no 01, hansari muktidhaam va ward no 07 main ek-ek mini solar pump ki sthapana ka karya","Ward no 01, hansari muktidhaam va ward no 07 main ek-ek mini solar pump ki sthapana ka karya",Please refer Tender documents. ,NA ,"12,89,000",Civil Works,NA ,Tender,90.0,90.0,"Ward no 01, hansari muktidhaam va ward no 07 main",284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,854.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,6158934,SUNIL PARASHAR,07-Jun-2026 08:45 PM,Accepted-AOC,Y,22-Jul-2026 06:07 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
