S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,6178310.0,SHIV CONSTRUCTION,INR,"3,270,287.24",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow||Unit-10 Kanpur,2026_UPPRC_1156620_6,03/PM-10/UPPCL/2026-27/Dated 30-05-2026,Construction of shelter in block Kabrai village Srinagar and construction work of CC road in block Charkhari village Jataura in District Mahoba.,1,6177548,AVADHESH CONSTRUCTION,09-Jun-2026 02:11 PM,Rejected-Finance,L2,30-Jun-2026 09:06 PM,01-Jul-2026,"INR 3,270,287.24",90.0,SATYA PRIYA,07-Jul-2026 09:09 PM,AOC1156620_6.pdf (131.00 KB),LOWEST BIDDER,"PM,UNIT-10,KANPUR",Internal,"PM,UNIT-13,BANDA,ACCT.,UNIT-10,KANPUR",SATYA PRIYA,30-Jun-2026 09:06 PM,finsummary_2167244.pdf (1085.84 KB),Technical,Summary1156620_6,SATYA PRIYA,22-Jun-2026 08:28 PM,technical_2167244.pdf,"PM,UNIT-10,KANPUR",Internal,"PM,UNIT-13,BANDA,ACCT.,UNIT-10,KANPUR",SATYA PRIYA,22-Jun-2026 10:50 PM,23-Jun-2026 09:00 AM,techsummary_2167244.pdf (1085.84 KB),Finance,Summary1156620_6,SATYA PRIYA,30-Jun-2026 09:04 PM,finance_2167244.pdf,BOQ Comparative Chart,AOC,1,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow||Unit-10 Kanpur,03/PM-10/UPPCL/2026-27/Dated 30-05-2026,2026_UPPRC_1156620_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of shelter in block Kabrai village Srinagar and construction work of CC road in block Charkhari village Jataura in District Mahoba.,Construction of shelter in block Kabrai village Srinagar and construction work of CC road in block Charkhari village Jataura in District Mahoba.,Construction of shelter in block Kabrai village Srinagar and construction work of CC road in block Charkhari village Jataura in District Mahoba. ,NA ,,Road Works,CC Road ,Tender,90.0,90.0,MAHOBA,210427.0,NA ,NA ,NA ,"PM,UNIT-10,UPPCL",No ,No,03-Jun-2026 12:00 PM,10-Jun-2026 05:00 PM,03-Jun-2026 12:00 PM,10-Jun-2026 03:00 PM,NA ,NA ,03-Jun-2026 12:00 PM,10-Jun-2026 03:00 PM,23-Jun-2026 09:00 AM,1.0,SBI Bank,"5,900",Nil,Nil,No,"PM,UNIT-10,UPPCL","Project Manager, U.P. Projects Corporation Ltd., Unit-10, Udayog Kunj Road Near Haluwakhada (Rajwaha) Nauraiya Kheda (Nahar Kothi), Dada Nagar, Kanpur","66,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,6178310,SHIV CONSTRUCTION,09-Jun-2026 05:27 PM,Accepted-AOC,L1,07-Jul-2026 09:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
