Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow,2026_UPPRC_1144064_1,28/UPPCL/GM-7/E-TENDER/2026-27 Dated-22.04.2026,Construction of Main Boundary wall for newly Constructed Pakshala and Multipurpose Hall of District Jail Raebareli District- Raebareli (U.P.),1.0,6115148.0,PREM ENTERPRISES,INR,"98,183,238.15",1,6113694,ANKIT ENTERPRISES,14-May-2026 09:56 AM,Rejected-AOC,Accepted,14-Jul-2026 06:49 PM,14-Jul-2026,"INR 98,183,238.15",365.0,RAKESH VERMA,14-Jul-2026 06:49 PM,AOC28.pdf (581.00 KB),Enclosed,1.0,Tender Revocation,Enclosed,23-May-2026 05:05 PM,Cori28new.pdf ,520.94,Technical Opening,"General Manager, Zone-7, Lucknow",Internal,"General Manager, Zone-3, Ayodhya, Project Manger, Unit-8, Lucknow, Accountant, Unit-8, Lucknow",RAKESH VERMA,14-Jul-2026 06:37 PM,finsummary_2137359.pdf (2942.77 KB),Technical,Enclosed,RAKESH VERMA,01-Jun-2026 06:36 PM,technical_2137359.pdf,"General Manager, Zone-7, Lucknow",Internal,"General Manager, Zone-3, Ayodhya, Project Manager, Unit-8, Lucknow, Accountant, Unit-8, Lucknow.",RAKESH VERMA,01-Jun-2026 06:45 PM,02-Jun-2026 05:00 PM,techsummary_2137359.pdf (4411.47 KB),Finance,Enclosed,RAKESH VERMA,14-Jul-2026 06:29 PM,finance_2137359.pdf,BOQ Comparative Chart,AOC,"General Manager, Zone-7, Lucknow","General Manager, Zone-7, U.P. Projects Corporation Ltd. Lucknow. Gomti Barrage, Left Bank, Gomti Nagar Lucknow.",30-Apr-2026 05:00 PM,14-May-2026 04:00 PM,30-Apr-2026 05:00 PM,14-May-2026 02:00 PM,NA ,NA ,30-Apr-2026 05:00 PM,14-May-2026 02:00 PM,02-Jun-2026 05:00 PM,Construction of Main Boundary wall for newly Constructed Pakshala and Multipurpose Hall of District Jail Raebareli District- Raebareli (U.P.),Construction of Main Boundary wall for newly Constructed Pakshala and Multipurpose Hall of District Jail Raebareli District- Raebareli (U.P.),Please refer Tender documents. ,NA ,"12,01,20,000",Civil Works - Buildings,NA ,Tender,90.0,365.0,District- Raebareli (U.P.),290001.0,NA ,NA ,NA ,Lucknow,No ,No,"24,02,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,BIDDOC,1.0,SBI Bank,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow,28/UPPCL/GM-7/E-TENDER/2026-27 Dated-22.04.2026,2026_UPPRC_1144064_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Date,Date,,"17,700",Nil,Nil,No,AOC
,,,,,,,,,2,6087246,M/S J.N SHARMA,14-May-2026 01:15 PM,Rejected-AOC,Accepted,14-Jul-2026 06:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6084493,M/S MAA VAISHNO ENTERPRISES,14-May-2026 09:43 AM,Rejected-Technical,Disqualified,01-Jun-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6115148,PREM ENTERPRISES,14-May-2026 01:54 PM,Accepted-AOC,Accepted,14-Jul-2026 06:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6115236,RAJ CONSTRUCTION,14-May-2026 01:22 PM,Rejected-AOC,Accepted,14-Jul-2026 06:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
