Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
SE,Internal,EEDAO,Lalita Verma,02-Jun-2026 04:00 PM,06-Jun-2026 12:00 PM,techsummary_2144079.pdf (260.05 KB),Technical,tech,Pooja Rani,30-May-2026 02:46 PM,,09-Jul-2026,"INR 4,552,221",90.0,Vimal Kumar,09-Jul-2026 05:58 PM,bagaha.pdf (2562.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,2026_REDUP_1145967_25,01/SE RED/tender/2026-27 Dt 01-04-2026,Gram panchayat bagha me pich raod annapurna bhawan hote hue kamla bharti ke ghar tak interlocking ka karya,1,6107295,JATA SHANKAR SINGH,24-May-2026 05:47 PM,Accepted-AOC,AOC,09-Jul-2026 05:58 PM,1.0,6107295.0,JATA SHANKAR SINGH,INR,"4,552,221",SE,Internal,DAOAE,Pooja Rani,01-Jul-2026 04:58 PM,finsummary_2144079.pdf (22.79 KB),Finance,finan,Lalita Verma,06-Jun-2026 03:52 PM,,BOQ Comparative Chart,AOC,SUPRINTENDING ENGINEER,Near Jahanvi Hotel Putlighar Mirzapur,1.0,SBI Bank,"91,000",Yes,fixed,,Nil,Nil,Gram panchayat bagha me pich raod annapurna bhawan hote hue kamla bharti ke ghar tak interlocking ka karya,Gram panchayat bagha me pich raod annapurna bhawan hote hue kamla bharti ke ghar tak interlocking ka karya,Please refer Tender documents. ,NA ,"45,57,000",Civil Works,NA ,Tender,90.0,90.0,Mirzapur,231001.0,NA ,NA ,NA ,SUPERINTENDING ENGINEER RURAL ENGINEERING DEPARTME,No ,No,09-May-2026 10:00 AM,26-May-2026 12:30 PM,09-May-2026 10:00 AM,25-May-2026 02:00 PM,NA ,NA ,09-May-2026 10:00 AM,25-May-2026 02:00 PM,06-Jun-2026 12:00 PM,"3,214",Nil,Nil,No,1.0,date,Date,,1.0,Fee/PreQual/Technical,.pdf,sbd,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE MIRZAPUR,01/SE RED/tender/2026-27 Dt 01-04-2026,2026_REDUP_1145967_25,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,6107272,PREM BAHADUR SINGH,19-May-2026 04:45 PM,Rejected-Finance,l2,01-Jul-2026 04:58 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,6107229,SHREYA CONSTRUCTION,19-May-2026 08:06 PM,Rejected-Finance,l3,01-Jul-2026 04:58 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
