S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,6128355.0,M/S KAUSHAL KUMAR SINGH,INR,"25,011,844.73",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD),2026_UPPRC_1140547_2,02/UPPCL/GM(QAE)/E-TENDER /2026-27,"DEVELOPMENT AND BEAUTIFICATION OF RAMLEELA MAIDAN, IN DISTRICT - GONDA (U.P.)",1,6128355,M/S KAUSHAL KUMAR SINGH,20-May-2026 12:29 PM,Accepted-AOC,L1 Firm,23-Jul-2026 04:44 PM,23-Jul-2026,"INR 25,011,844.73",270.0,Rajesh Verma,23-Jul-2026 04:42 PM,POW.pdf (566.00 KB),General Manager(QAE),Internal,"General Manager(QAE), General Manager Zone-3, Project Manager Unit-22, Accountant",Rajesh Verma,08-Jun-2026 05:54 PM,10-Jun-2026 04:00 PM,techsummary_2147954.pdf (684.38 KB),Finance,Enclosed,Rajesh Verma,23-Jul-2026 04:36 PM,finance_2147954.pdf,BOQ Comparative Chart,General Manager(QAE),Internal,"General Manager(QAE), General Manager Zone-3, Project Manager Unit-22, Accountant",Rajesh Verma,23-Jul-2026 04:39 PM,finsummary_2147954.pdf (685.68 KB),Technical,Enclosed,Rajesh Verma,08-Jun-2026 05:49 PM,technical_2147954.pdf,AOC,General Manager(QAE),"General Manager (QAE) U.P. Projects Corporation Ltd., Gomti Barrage, Left Bank, Gomti Nagar Lucknow",1.0,SBI Bank,"17,700",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,BID Document,"DEVELOPMENT AND BEAUTIFICATION OF RAMLEELA MAIDAN, IN DISTRICT - GONDA (U.P.)","DEVELOPMENT AND BEAUTIFICATION OF RAMLEELA MAIDAN, IN DISTRICT - GONDA (U.P.)",As per BID Document ,NA ,"2,51,40,000",Civil Works,NA ,Tender,90.0,270.0,"RAMLEELA MAIDAN, IN DISTRICT - GONDA (U.P.)",271001.0,NA ,NA ,NA ,Lucknow,No ,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD),02/UPPCL/GM(QAE)/E-TENDER /2026-27,2026_UPPRC_1140547_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,03,000",Yes,fixed,,Nil,Nil,13-May-2026 09:00 AM,20-May-2026 04:00 PM,13-May-2026 09:00 AM,20-May-2026 02:00 PM,NA ,NA ,13-May-2026 09:00 AM,20-May-2026 02:00 PM,10-Jun-2026 04:00 PM,AOC
,,,,,,,,,2,6129215,M/s Parth and Associate,19-May-2026 08:06 PM,Rejected-Technical,Rejected,08-Jun-2026 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6130770,PREM ENTERPRISES,20-May-2026 12:37 PM,Rejected-Technical,Rejected,08-Jun-2026 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6130658,RAJ CONSTRUCTION,20-May-2026 01:21 PM,Rejected-Technical,Rejected,08-Jun-2026 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6127760,Surat Construction Pvt Ltd,19-May-2026 01:50 PM,Rejected-Technical,Rejected,08-Jun-2026 05:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
