S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,FDR - Fixed Deposit,04-Jul-2026 09:00 AM,09-Jul-2026 02:00 PM,04-Jul-2026 09:00 AM,09-Jul-2026 01:00 PM,04-Jul-2026 09:00 AM ,09-Jul-2026 01:00 PM ,04-Jul-2026 09:00 AM,09-Jul-2026 01:00 PM,15-Jul-2026 09:00 AM,"98,500",No,fixed,,UPSCIDCO,BASTI,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,655/ E.E/Basti /Ekikrit Yojna Antargat Community Hall SKN/E-Tender-I/ 2026-27 Dated 03/07/2026,2026_SCIDC_1166098_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of Community Hall work at Gram Pidawal me Block Bahadurpur Distt Basti,Construction of Community Hall work at Gram Pidawal me Block Bahadurpur Distt Basti,As Given in NIT ,NA ,"49,20,000",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",07-Jul-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,"1,652",UPSCIDCO,BASTI,No,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti",1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,14-Jul-2026 06:49 PM,15-Jul-2026 09:00 AM,techsummary_2187191.pdf (811.27 KB),Finance,M/S BHAVYA ENTERPRISES Found L1,Ramesh Bahadur Shahi,22-Jul-2026 12:28 PM,finance_2187191.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,22-Jul-2026 12:43 PM,finsummary_2187191.pdf (503.64 KB),Technical,M/S BHAVYA ENTERPRISES and M/S BHARAT DEVELOPERS Found,Ramesh Bahadur Shahi,14-Jul-2026 06:47 PM,technical_2187191.pdf,1,6241856,M/S BANSHI DHAR PANDEY,08-Jul-2026 07:56 PM,Rejected-Technical,Not Accepted,14-Jul-2026 06:49 PM,1.0,6238797.0,M/S BHAVYA ENTERPRISES,INR,"4,675,476",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1166098_1,655/ E.E/Basti /Ekikrit Yojna Antargat Community Hall SKN/E-Tender-I/ 2026-27 Dated 03/07/2026,Construction of Community Hall work at Gram Pidawal me Block Bahadurpur Distt Basti,24-Jul-2026,"INR 4,675,476",90.0,Ramesh Bahadur Shahi,24-Jul-2026 10:26 AM,PidawalLoi.pdf (1150.00 KB),M/s Bhavya Enterprises Found L1,AOC
2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6241983,M/S BHARAT DEVELOPERS,08-Jul-2026 08:49 PM,Rejected-Finance,L2,22-Jul-2026 12:43 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6238797,M/S BHAVYA ENTERPRISES,09-Jul-2026 12:53 PM,Accepted-AOC,L1,24-Jul-2026 10:26 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,6235344,M/S JAI CONSTRUCTION,08-Jul-2026 10:35 AM,Rejected-Technical,Not Accepted,14-Jul-2026 06:49 PM,,,,,,,,,,,,,,,,,AOC
