Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,157/RED/Tender/2026-27,2026_REDUP_1152221_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,22-May-2026 06:00 PM,28-May-2026 12:30 PM,22-May-2026 06:00 PM,28-May-2026 12:00 PM,NA ,NA ,22-May-2026 06:00 PM,28-May-2026 12:00 PM,12-Jun-2026 12:30 PM,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical,944.0,Nil,Nil,No,EE RED Sitapur,"Vikas Bhawan, Sitapur","Installation of Electric High Mast Light 200 Watt (04-way) at 18 locations (as per list of Hon ble Member of Legislative Assembly), Block Pahla. (Vidhan Sabha Mahmudabad)","Installation of Electric High Mast Light 200 Watt (04-way) at 18 locations (as per list of Hon ble Member of Legislative Assembly), Block Pahla. (Vidhan Sabha Mahmudabad)",Please refer Tender documents. ,NA ,"21,77,489",Electrical Works,NA ,Tender,90.0,NA ,"Pahla, Sitapur",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,"46,000",No,fixed,,Nil,Nil,AOC,Finance,Two bid have been received and send For Financial Evaluation,Pankajkumar Srivastava,12-Jun-2026 04:21 PM,,BOQ Comparative Chart,Gyanendra Kumar,Internal,,Ravi Pratap Singh,09-Jun-2026 03:53 PM,12-Jun-2026 12:30 PM,techsummary_2158489.pdf (336.71 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,29-May-2026 03:13 PM,,Ravi Pratap Singh,Internal,,Ravi Pratap Singh,27-Jun-2026 04:46 PM,finsummary_2158489.pdf (521.70 KB),22-Jul-2026,"INR 2,175,094",90.0,Ravi Pratap Singh,31-Jul-2026 06:16 PM,02.pdf (361.00 KB),1,6147236,M/S PAWAN SUT ENTERPRISES,27-May-2026 10:19 PM,Rejected-Finance,Higher Rate Quoted,27-Jun-2026 04:46 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1152221_2,157/RED/Tender/2026-27,"Installation of Electric High Mast Light 200 Watt (04-way) at 18 locations (as per list of Hon ble Member of Legislative Assembly), Block Pahla. (Vidhan Sabha Mahmudabad)",1.0,6147185.0,M/s YNS CONSTRUCTION,INR,"2,175,094",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6147185,M/s YNS CONSTRUCTION,27-May-2026 10:09 PM,Accepted-AOC,L1,31-Jul-2026 06:16 PM,,,,,,,,,,AOC
