Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,"3,000",Nil,Nil,No,10-May-2026 10:55 AM,20-May-2026 12:30 PM,10-May-2026 10:55 AM,19-May-2026 12:00 PM,NA ,NA ,10-May-2026 10:55 AM,19-May-2026 12:00 PM,19-Jun-2026 12:00 PM,"Under District Prayagraj, Road and drain construction work from Shiva Mandir to Manu Pathak from the lane next to Mirapur Hanuman Mandir to Tamarind Dhal to Dhamini Mata Mandir via Dhamini Mata Mandir., Lot No 22","Under District Prayagraj, Road and drain construction work from Shiva Mandir to Manu Pathak from the lane next to Mirapur Hanuman Mandir to Tamarind Dhal to Dhamini Mata Mandir via Dhamini Mata Mandir., Lot No 22",Please refer Tender documents. ,NA ,"49,91,000",Civil Works,NA ,Tender,90.0,NA ,Prayagraj,228001.0,SE RED Prayagraj Circle ,"SE RED Prayagraj Circle, 21 Church Lane, Alenganj, Prayagraj  ",11-May-2026 11:00 AM ,SE RED Prayagraj Circle,No ,No,SE RED Prayagraj Circle,"SE RED Prayagraj Circle, 21 Church Lane, Alenganj, Prayagraj",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE,I/910401/2026/SE RED Prayagraj/Prayagraj/26-27 Dt 06/04/2026,2026_REDUP_1147154_22,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"99,820",No,percentage,2.0%,Nil,Nil,AOC,Er Hemant Saxena SE RED Prayagraj,Internal,"Er Hemant Saxena SE RED Prayagraj, Er Vipul Chandra EE RED Kaushambi, Er S P Mishra EE RED Prayagraj, Mr R P Ram DAO Prayagraj",Hemant Sexena,30-Jun-2026 08:51 PM,finsummary_2145740.pdf (178.74 KB),Finance,d,Satyaprakash Mishra,20-Jun-2026 05:29 PM,,BOQ Comparative Chart,1.0,6125000.0,M/S K D R S S AND SONS,INR,"4,977,721",1,6125000,M/S K D R S S AND SONS,18-May-2026 11:38 PM,Accepted-AOC,AoC,25-Jul-2026 03:29 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE,2026_REDUP_1147154_22,I/910401/2026/SE RED Prayagraj/Prayagraj/26-27 Dt 06/04/2026,"Under District Prayagraj, Road and drain construction work from Shiva Mandir to Manu Pathak from the lane next to Mirapur Hanuman Mandir to Tamarind Dhal to Dhamini Mata Mandir via Dhamini Mata Mandir., Lot No 22",25-Jul-2026,"INR 4,977,721",120.0,Hemant Sexena,25-Jul-2026 03:29 PM,910401_22.pdf (402.00 KB),Technical,d,Satyaprakash Mishra,22-May-2026 05:45 PM,,Er Hemant Saxena SE RED Prayagraj,Internal,"Er Hemant Saxena SE RED Prayagraj, Er Vipul Chandra EE RED Kaushambi, Er S P Mishra EE RED Prayagraj, Mr R P Ram DAO Prayagraj",Hemant Sexena,15-Jun-2026 07:16 PM,19-Jun-2026 12:00 PM,techsummary_2145740.pdf (283.46 KB),AOC
2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6121704,M/S SADGURU CONSTRUCTION SUPPLIERS,19-May-2026 08:42 AM,Rejected-Finance,Rejected,30-Jun-2026 08:51 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
