Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,19/GM-3/UPPCL/2026-27 DATE-18.06.2026,2026_UPPRC_1161662_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,25-Jun-2026 10:00 AM,03-Jul-2026 04:00 PM,25-Jun-2026 10:00 AM,03-Jul-2026 03:00 PM,NA ,NA ,25-Jun-2026 10:00 AM,03-Jul-2026 03:00 PM,07-Jul-2026 12:00 PM,General Manager Zone-3 UPPCL Lucknow,Office of the General Manager Zone-3 UPPCL Lucknow,"1,78,000",No,fixed,,Nil,Nil,1.0,SBI Bank,"11,800",Nil,Nil,No,Tourism Development and Beautification of Pracheen Vishnu Mandir at Ashuran Chauk Distt. Gorakhpur,Tourism Development and Beautification of Pracheen Vishnu Mandir at Ashuran Chauk Distt. Gorakhpur,As per Bid Documents ,NA ,"89,28,000",Civil Works - Buildings,N/A ,Tender,90.0,180.0,Gorakhpur,273001.0,NA ,NA ,NA ,Office of the General Manager Zone-3 UPPCL Lucknow,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,Finance,Attached,ANIL KUMAR SINGH,13-Jul-2026 05:38 PM,finance_2177563.pdf,BOQ Comparative Chart,General Manager Zone-3 UPPCL Lko,Internal,Attached,ANIL KUMAR SINGH,06-Jul-2026 06:11 PM,07-Jul-2026 12:00 PM,techsummary_2177563.pdf (4640.15 KB),Technical,Attached,ANIL KUMAR SINGH,06-Jul-2026 06:08 PM,technical_2177563.pdf,General Manager Zone-3 UPPCL Lko,Internal,Attached,ANIL KUMAR SINGH,13-Jul-2026 05:40 PM,finsummary_2177563.pdf (4640.15 KB),13-Jul-2026,"INR 8,873,106.39",180.0,ANIL KUMAR SINGH,13-Jul-2026 05:42 PM,Ag22vishnumandir.pdf (3169.00 KB),L1,1.0,6225688.0,YUVRAJ INFOTECH,INR,"8,873,106.39",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,2026_UPPRC_1161662_1,19/GM-3/UPPCL/2026-27 DATE-18.06.2026,Tourism Development and Beautification of Pracheen Vishnu Mandir at Ashuran Chauk Distt. Gorakhpur,1,6226080,M/s Ajay Kumar Singh,02-Jul-2026 05:23 PM,Rejected-AOC,L2,13-Jul-2026 05:42 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6223548,SUPERTECH ENTERPRISES,01-Jul-2026 12:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,06-Jul-2026 06:08 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6225688,YUVRAJ INFOTECH,02-Jul-2026 05:38 PM,Accepted-AOC,L1,13-Jul-2026 05:42 PM,AOC
