S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,date extand,Date,,16-May-2026 09:00 AM,08-Jun-2026 03:30 PM,16-May-2026 09:00 AM,08-Jun-2026 12:00 PM,NA ,NA ,16-May-2026 09:00 AM,08-Jun-2026 12:00 PM,30-Jun-2026 12:30 PM,Ward No 51 Civil Line Dakshni duttiya khetra mai ek yatri shed ka nirman,Ward No 51 Civil Line Dakshni duttiya khetra mai ek yatri shed ka nirman,Please refer Tender documents. ,NA ,"13,12,000",Civil Works,NA ,Tender,90.0,90.0,Ward No 51 Civil Line Dakshni duttiya khetra mai e,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,85/RED/Tender/2025-26 Dated-08.04.2026,2026_REDUP_1148834_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"27,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,sbd,EE RED Jhansi,EE RED Jhansi,1.0,SBI Bank,854.0,Nil,Nil,No,AOC,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,27-Jun-2026 05:25 PM,30-Jun-2026 12:30 PM,techsummary_2150792.pdf (273.93 KB),Finance,FINAL,Chaman Srivastava,06-Jul-2026 12:07 PM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,Chaman Srivastava,06-Jul-2026 12:10 PM,finsummary_2150792.pdf (1070.11 KB),Technical,final,RAJNEESH KUMAR,27-Jun-2026 05:23 PM,,1,6175062,JAYA SRI INDUSTRIES,07-Jun-2026 04:44 PM,Accepted-AOC,Y,06-Jul-2026 12:12 PM,1.0,6175062.0,JAYA SRI INDUSTRIES,INR,"1,309,728",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1148834_8,85/RED/Tender/2025-26 Dated-08.04.2026,Ward No 51 Civil Line Dakshni duttiya khetra mai ek yatri shed ka nirman,06-Jul-2026,"INR 1,309,728",90.0,Chaman Srivastava,06-Jul-2026 12:12 PM,wardno51.pdf (1070.00 KB),FINAL,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6168574,M/S MAA SHAKUNTALA CONSTRUCTION,05-Jun-2026 08:41 AM,Rejected-Finance,N,06-Jul-2026 12:10 PM,,,,,,,,,,,,,,,,,AOC
