Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Construction of MDM Shed Block Navanagar, Sikandarpur in District Ballia.","Construction of MDM Shed Block Navanagar, Sikandarpur in District Ballia.",Please refer tender Documents ,NA ,"8,91,478",Civil Works,NA ,Tender,90.0,NA ,Ballia,277001.0,NA ,NA ,NA ,Executive Engineer UPSCIDC Ltd Azamgarh,No ,No,"17,800",No,fixed,,UPSCIDC LTD Ballia,UPSCIDC LTD Ballia,03-Jul-2026 06:50 PM,10-Jul-2026 03:00 PM,03-Jul-2026 06:50 PM,10-Jul-2026 02:00 PM,NA ,NA ,03-Jul-2026 06:50 PM,10-Jul-2026 02:00 PM,16-Jul-2026 03:25 PM,"1,652",UPSCIDC LTD Ballia,UPSCIDC LTD Ballia,No,Executive Engineer UPSCIDC Ltd Azamgarh,Maa Shanti Niwas Opp. Dr. Javed Aarajibagh Azamgarh 276001,1,FDR - Fixed Deposit,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,310/EE/Ballia/E-Tender/2026-27 Dt. 23.06.2026,2026_SCIDC_1163624_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,Notice,AOC,Technical,Technical,Madan Singh,16-Jul-2026 03:21 PM,technical_2187406.pdf,"Manoj Kumar E.E.,",Internal,"Madan Singh J.E., Pawan Kumar AAO.,",Madan Singh,20-Jul-2026 12:26 PM,finsummary_2187406.pdf (244.44 KB),Finance,Financial,Madan Singh,20-Jul-2026 12:22 PM,finance_2187406.pdf,BOQ Comparative Chart,"Manoj Kumar E.E.,",Internal,"Madan Singh J.E., Pawan Kumar AAO.,",Madan Singh,16-Jul-2026 03:23 PM,16-Jul-2026 03:25 PM,techsummary_2187406.pdf (202.22 KB),24-Jul-2026,"INR 883,900.44",180.0,Madan Singh,27-Jul-2026 04:59 PM,Order.pdf (950.00 KB),"Construction of MDM Shed Block Navanagar, Sikandarpur in District Ballia.",1,6242851,ARYAN ENTERPRISES,10-Jul-2026 09:49 AM,Accepted-AOC,Below Rate,27-Jul-2026 05:00 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,2026_SCIDC_1163624_2,310/EE/Ballia/E-Tender/2026-27 Dt. 23.06.2026,"Construction of MDM Shed Block Navanagar, Sikandarpur in District Ballia.",1.0,6242851.0,ARYAN ENTERPRISES,INR,"883,900.44",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,2,Finance,.xls,Financial,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6246046,RADIANT SOCIETY,10-Jul-2026 01:27 PM,Rejected-Finance,High Rate,20-Jul-2026 12:26 PM,,,,,,,,,,AOC
