Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
30-Jun-2026,"INR 90,868.2",20.0,SURYA MANI SINGH,08-Jul-2026 11:55 AM,007.pdf (278.00 KB),AOC,1.0,6191634.0,M/S SHRI BANKE BIHARI CONSTGRUCTION AND SUPPLYER,INR,"90,868.2","U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||II Circle Irrigation Works, Kanpur||Irrigation Division Kannauj",2026_UPIDC_1157095_7,02/EE/2026-27,Silt Clearance of Mahu Sibra Drain From Km. 6.000 to 0.000 for the year 2026-27,1,6190926,JAI MAHAKAL CONSTRUCTION,12-Jun-2026 03:24 PM,Rejected-Technical,Technical Unqualified,16-Jun-2026 09:34 AM,Technical,Technical Detail,SURYA MANI SINGH,16-Jun-2026 09:03 AM,technical_2169929.pdf,Surya Mani Singh E E,Internal,Rajkumar Ae III Vinay dev Tiwari Ae IV Ankur Kumar DAO,SURYA MANI SINGH,30-Jun-2026 01:41 PM,finsummary_2169929.pdf (249.38 KB),Finance,Financial detail,SURYA MANI SINGH,16-Jun-2026 10:47 AM,finance_2169929.pdf,BOQ Comparative Chart,Surya Mani Singh E E,Internal,Rajkumar Ae III Vinay dev Tiwari Ae IV Ankur Kumar DAO,SURYA MANI SINGH,16-Jun-2026 09:34 AM,16-Jun-2026 09:35 AM,techsummary_2169929.pdf (274.80 KB),AOC,767.0,Nil,Nil,No,08-Jun-2026 09:00 AM,13-Jun-2026 11:30 AM,08-Jun-2026 09:00 AM,13-Jun-2026 11:00 AM,NA ,NA ,08-Jun-2026 09:00 AM,13-Jun-2026 11:00 AM,16-Jun-2026 09:35 AM,Executive Engineer Irrigation Division Kannauj,Office of Executive Engineer Irrigation Division Saraimeera Kannauj,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||II Circle Irrigation Works, Kanpur||Irrigation Division Kannauj",02/EE/2026-27,2026_UPIDC_1157095_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Silt Clearance of Mahu Sibra Drain From Km. 6.000 to 0.000 for the year 2026-27,Silt Clearance,Please refer Tender documents. ,NA ,"2,21,000",Civil Works - Others,NA ,Tender,90.0,20.0,Kannauj,209725.0,NA ,NA ,NA ,Kannauj,No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,"23,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,6184817,MOHD ABID,10-Jun-2026 12:38 PM,Rejected-Technical,Technical Unqualified,16-Jun-2026 09:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6189860,M/S G S D B K TRADERS,12-Jun-2026 08:38 AM,Rejected-Finance,L6,30-Jun-2026 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6191634,M/S SHRI BANKE BIHARI CONSTGRUCTION AND SUPPLYER,13-Jun-2026 10:08 AM,Accepted-AOC,L1,08-Jul-2026 11:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6191692,M/S Vinay Construction,13-Jun-2026 10:48 AM,Rejected-Technical,Technical Unqualified,16-Jun-2026 09:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,6186919,Rajendra and Brothers,10-Jun-2026 11:52 PM,Rejected-Finance,L5,30-Jun-2026 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,6191313,RAMA YADAV,12-Jun-2026 07:09 PM,Rejected-Finance,L4,30-Jun-2026 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,6191490,Rangers Group,13-Jun-2026 01:00 AM,Rejected-Technical,Technical Unqualified,16-Jun-2026 09:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,6181051,Rishabh pandey,09-Jun-2026 06:36 AM,Rejected-Finance,L3,30-Jun-2026 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,6186766,Sanjiv Kumar Chaturvedi contructor and Supplier,10-Jun-2026 10:07 PM,Rejected-Finance,L2,30-Jun-2026 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
