S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,BG - Bank Guarantee,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Mirzapur,92/EE/UPRNSS/MIRZAPUE/26-27 Dated. 14/05/2026,2026_UPRNS_1148495_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Executive Engineer. UPRNSS Mirzapur,"Chaudhari Bhawan, Riwan Road Bathua, Mirzapur",1.0,Fee/PreQual/Technical,.pdf,FEE/PREQUAL/TECHNICAL,826.0,Executive Engineer. UPRNSS Mirzapur,Mirzapur,No,"CONSTRUCTION OF PLATFORM AND G.I. CHAIN LINK FENCING FOR STATIC CRYOVESSEL AT PASHU CHIKITSALAYA CHUNAR, DISTT. MIRZAPUR, (U. P.)","CONSTRUCTION OF PLATFORM AND G.I. CHAIN LINK FENCING FOR STATIC CRYOVESSEL AT PASHU CHIKITSALAYA CHUNAR, DISTT. MIRZAPUR, (U. P.)",Please refer Tender documents. ,NA ,"2,40,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,CHUNAR,231304.0,NA ,NA ,NA ,Mirzapur,No ,No,14-May-2026 05:30 PM,21-May-2026 10:30 AM,14-May-2026 05:35 PM,20-May-2026 06:00 PM,NA ,NA ,14-May-2026 05:40 PM,20-May-2026 06:00 PM,27-May-2026 05:50 PM,"5,000",No,fixed,,Executive Engineer. UPRNSS Mirzapur,Mirzapur,AOC,Executive Engineer. UPRNSS Mirzapur,Internal,"SHRI AJAY KUMAR SINGH(AE), SHRI DEENANATH YADAV(JE), SHRI MOHMAD MOHSIN(ACCOUNTENT)",Akhilesh Kumar Shukla,29-May-2026 05:09 PM,finsummary_2149819.pdf (544.89 KB),Technical,2 BIDS ARE ADMITTED.,MOHAMMEAD MOHSIN,27-May-2026 05:37 PM,technical_2149819.pdf,Executive Engineer. UPRNSS Mirzapur,Internal,"SHRI AJAY KUMAR SINGH(AE), SHRI DEENANATH YADAV(JE), SHRI MOHMAD MOHSIN(ACCOUNTENT)",MOHAMMEAD MOHSIN,27-May-2026 05:42 PM,27-May-2026 05:50 PM,techsummary_2149819.pdf (546.37 KB),Finance,2 BIDS ARE ADMITTED.,Akhilesh Kumar Shukla,29-May-2026 04:42 PM,finance_2149819.pdf,BOQ Comparative Chart,1.0,6131820.0,CHAURASIA CONSTRUCTIONS AND SUPPLIERS,20-May-2026 05:55 PM,Accepted-AOC,Lowest Quoted Amount,01-Jul-2026 01:48 PM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited||EE / PE Mirzapur,2026_UPRNS_1148495_1,92/EE/UPRNSS/MIRZAPUE/26-27 Dated. 14/05/2026,"CONSTRUCTION OF PLATFORM AND G.I. CHAIN LINK FENCING FOR STATIC CRYOVESSEL AT PASHU CHIKITSALAYA CHUNAR, DISTT. MIRZAPUR, (U. P.)",1.0,6131820.0,CHAURASIA CONSTRUCTIONS AND SUPPLIERS,INR,"239,928",09-Jun-2026,"INR 239,928",60.0,Akhilesh Kumar Shukla,01-Jul-2026 01:48 PM,workorder.pdf (1159.00 KB),THIS CONTRACT IS AWARDED TO M/S CHAURASIA CONSTRUCTIONS AND SUPPLIERS,AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6131477.0,M/S MAA VINDHYAVASINI CONSTRUCTION CO.,20-May-2026 03:25 PM,Rejected-Finance,DUE TO QUOTED AMOUNT IS NOT LOWEST IN ALL.,29-May-2026 05:09 PM,,,,,,,,,,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
