Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,22/RED/Tender/File No/Bond Clerk/2026-27Dt. 07.04.26,2026_REDUP_1155677_15,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SE RED BASTI,O/O SE RED BASTI,1.0,SBI Bank,"1,13,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,technical,30-May-2026 05:00 PM,06-Jun-2026 03:30 PM,30-May-2026 05:00 PM,06-Jun-2026 12:00 PM,30-May-2026 05:00 PM ,06-Jun-2026 12:00 PM ,30-May-2026 05:00 PM,06-Jun-2026 12:00 PM,29-Jun-2026 12:00 PM,Vikas Khand Vikramjote ke gram jaitapur mein abadi ke dakshin se bandha hote huye bramh baba se ramwapur dakshin aadadi tak nirman karya,Vikas Khand Vikramjote ke gram jaitapur mein abadi ke dakshin se bandha hote huye bramh baba se ramwapur dakshin aadadi tak nirman karya,AS PER SBD ,NA ,"56,72,000",Civil Works,NA ,Tender,90.0,180.0,WORKS,272001.0,NA ,NA ,NA ,O/O SE RED BASTI,No ,No,"2,714",Nil,Nil,No,AOC,1.0,6170706.0,JAI SHIV CONSTRUCTION,INR,"5,666,217.6",ER MUNESH KUMAR LODHI,Internal,SE,MuneshKumar Lodhi,16-Jul-2026 05:46 PM,finsummary_2165076.pdf (505.96 KB),Finance,c,MuneshKumar Lodhi,29-Jun-2026 03:28 PM,,BOQ Comparative Chart,1,6170706,JAI SHIV CONSTRUCTION,06-Jun-2026 11:22 AM,Accepted-AOC,A,16-Jul-2026 05:47 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE,2026_REDUP_1155677_15,22/RED/Tender/File No/Bond Clerk/2026-27Dt. 07.04.26,Vikas Khand Vikramjote ke gram jaitapur mein abadi ke dakshin se bandha hote huye bramh baba se ramwapur dakshin aadadi tak nirman karya,Er. Munesh Kumar Lodhi,Internal,SE,MuneshKumar Lodhi,23-Jun-2026 12:49 PM,29-Jun-2026 12:00 PM,techsummary_2165076.pdf (114.73 KB),16-Jul-2026,"INR 5,666,217.6",180.0,MuneshKumar Lodhi,16-Jul-2026 05:47 PM,15.pdf (506.00 KB),A,Technical,c,MuneshKumar Lodhi,06-Jun-2026 05:51 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6170799,M/S ADARSH CONSTRUCTION & SUPPLIARS,06-Jun-2026 11:14 AM,Rejected-Finance,R,16-Jul-2026 05:46 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
