Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
25-Jul-2026,"INR 2,869,475.04",90.0,Satyaprakash Mishra,28-Jul-2026 02:02 PM,sharda.pdf (446.00 KB),aoc,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,2026_REDUP_1149045_9,Notice No. 18 date 06-04-2026,construction of Interlocking Road at Block Bahariya ke gram saraidatte me saraidatte nahar ke pul pakad ke paas to surendra singh house to harijan basti,1.0,6134732.0,JAI MAA SHARDA ENTERPRISES,INR,"2,869,475.04",1,6134732,JAI MAA SHARDA ENTERPRISES,22-May-2026 12:20 AM,Accepted-AOC,AWARD OF CONTRACT,28-Jul-2026 02:02 PM,Finance,d,Satyaprakash Mishra,12-Jun-2026 03:22 PM,,BOQ Comparative Chart,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,05-Jun-2026 05:17 PM,08-Jun-2026 01:00 PM,techsummary_2150951.pdf (622.54 KB),Technical,d,Satyaprakash Mishra,30-May-2026 07:03 PM,,Er SP Mishra,Internal,Er DP Mishra,Satyaprakash Mishra,03-Jul-2026 02:47 PM,finsummary_2150951.pdf (557.44 KB),AOC,1.0,Corrigendum date,Date,,1,Fee/PreQual/Technical,.pdf,pdf,"58,000",No,fixed,,Nil,Nil,construction of Interlocking Road at Block Bahariya ke gram saraidatte me saraidatte nahar ke pul pakad ke paas to surendra singh house to harijan basti,construction of Interlocking Road at Block Bahariya ke gram saraidatte me saraidatte nahar ke pul pakad ke paas to surendra singh house to harijan basti,Please refer Tender documents. ,NA ,"28,76,000",Civil Works,NA ,Tender,90.0,NA ,eeredallahabad,211002.0,NA ,NA ,NA ,eeredallahabad,No ,No,eeredallahabad,eeredallahabad,16-May-2026 09:00 AM,30-May-2026 02:00 PM,16-May-2026 09:00 AM,29-May-2026 05:00 PM,NA ,NA ,16-May-2026 09:00 AM,29-May-2026 05:00 PM,08-Jun-2026 01:00 PM,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE ALLAHABAD,Notice No. 18 date 06-04-2026,2026_REDUP_1149045_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,500",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2,6146451,MS Singh Construction,27-May-2026 05:43 PM,Rejected-Finance,Higher,03-Jul-2026 02:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,Finance,.xls,xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
