Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2026_REDUP_1162474_2,749/EE/RED/11-06-2026,Const. Of P.C. road from Noner Panchayat Primary school Nagla Beta to Thakur Das Dist- Mainpuri.,1.0,6214780.0,m/s kamal mishra,INR,"3,016,717",1,6214780,m/s kamal mishra,25-Jun-2026 08:28 PM,Accepted-AOC,L-1,31-Jul-2026 05:16 PM,22-Jul-2026,"INR 3,016,717",180.0,Nuzahat Parveen,31-Jul-2026 05:16 PM,beta_0001.pdf (260.00 KB),E.E.Nuzhat Parveen,Internal,"A.E.RED,D.A.O.RED",Nuzahat Parveen,17-Jul-2026 02:15 PM,finsummary_2178863.pdf (293.18 KB),Technical,ALL BIDS ADMITTED,Nuzahat Parveen,27-Jun-2026 01:00 PM,,E.E.Nuzhat Parveen,Internal,"A.E.RED, D.A.O.RED",Nuzahat Parveen,30-Jun-2026 01:43 PM,04-Jul-2026 10:00 AM,techsummary_2178863.pdf (294.42 KB),Finance,All Bids admitted,MUKESH VERMA,09-Jul-2026 11:26 AM,,BOQ Comparative Chart,AOC,854.0,Nil,Nil,No,1.0,SBI Bank,"61,000",Yes,fixed,,Nil,Nil,20-Jun-2026 03:00 PM,26-Jun-2026 02:30 PM,20-Jun-2026 03:00 PM,26-Jun-2026 12:00 PM,NA ,NA ,20-Jun-2026 03:00 PM,26-Jun-2026 12:00 PM,04-Jul-2026 10:00 AM,Const. Of P.C. road from Noner Panchayat Primary school Nagla Beta to Thakur Das Dist- Mainpuri.,Const. Of P.C. road from Noner Panchayat Primary school Nagla Beta to Thakur Das Dist- Mainpuri.,Please refer Tender documents. ,NA ,"30,19,737",Civil Works - Roads,NA ,Tender,90.0,180.0,MAINPURI,205001.0,NA ,NA ,NA ,VIKAS BHAWAN RED OFFICE MAINPURI,No ,No,1,Fee/PreQual/Technical,.pdf,Technical bid,Executive Engineer,Executive Engineer VIKAS BHAWAN RED OFFICE MAINPURI,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,749/EE/RED/11-06-2026,2026_REDUP_1162474_2,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,6217801,SHRI SHIVENDRA KUMAR,25-Jun-2026 08:36 PM,Rejected-Finance,L-2,17-Jul-2026 02:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,AOC
