Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,"Er D K Shukla SE RED Gorakhpur Circle, Er Surya Prakash EE RED Deoria, Er Vivek Priya EE RED Gorakhpur, Mr Kanhaiya Lal DAO RED Deoria",Dileep Shukla,11-Jun-2026 10:24 AM,16-Jun-2026 12:00 PM,techsummary_2156394.pdf (943.51 KB),Technical,Summary,Dileep Shukla,01-Jun-2026 02:42 PM,,04-Jul-2026,"INR 8,336,739.28",270.0,Dileep Shukla,04-Jul-2026 09:12 AM,21_43.pdf (159.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1150865_43,21/SE RED Gorakhpur/Deoria/26-27 Dt 02/04/2026,"Under District Deoria, Construction of road from Misrauli road to Kaushalpur in development block Bankata, Lot No 43",1,6138406,M/S AMETHIYA CONSTRUCTION,28-May-2026 02:48 PM,Rejected-Finance,Rejected,03-Jul-2026 11:50 AM,1.0,6137863.0,M/S FBS CONSTRUCTION,INR,"8,336,739.28",Finance,Summary,Dileep Shukla,16-Jun-2026 02:59 PM,,BOQ Comparative Chart,Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,03-Jul-2026 11:50 AM,finsummary_2156394.pdf (158.96 KB),AOC,"Under District Deoria, Construction of road from Misrauli road to Kaushalpur in development block Bankata, Lot No 43","Under District Deoria, Construction of road from Misrauli road to Kaushalpur in development block Bankata, Lot No 43",Please refer Tender documents. ,NA ,"70,69,000",Civil Works,NA ,Tender,90.0,NA ,Deoria,273001.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur ",25-May-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,21/SE RED Gorakhpur/Deoria/26-27 Dt 02/04/2026,2026_REDUP_1150865_43,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,41,380",No,percentage,2.0%,Nil,Nil,21-May-2026 10:00 AM,01-Jun-2026 12:30 PM,21-May-2026 10:00 AM,30-May-2026 12:00 PM,NA ,NA ,21-May-2026 10:00 AM,30-May-2026 12:00 PM,16-Jun-2026 12:00 PM,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle, Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur","2,714",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,6137863,M/S FBS CONSTRUCTION,30-May-2026 11:20 AM,Accepted-AOC,AOC,04-Jul-2026 09:12 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,AOC
