Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EE RED Jhansi,EE RED Jhansi,854.0,Nil,Nil,No,21-May-2026 06:55 PM,30-May-2026 03:30 PM,21-May-2026 06:55 PM,30-May-2026 12:00 PM,NA ,NA ,21-May-2026 06:55 PM,30-May-2026 12:00 PM,17-Jun-2026 12:30 PM,1,Fee/PreQual/Technical,.pdf,sbd,1.0,SBI Bank,Gram Baghera Block Chirgaon main Chabutara sahit 40x80 ka samudayik shed ka nirman,Gram Baghera Block Chirgaon main Chabutara sahit 40x80 ka samudayik shed ka nirman,Please refer Tender documents. ,NA ,"12,35,000",Civil Works,NA ,Tender,90.0,90.0,Gram Baghera Block Chirgaon main Chabutara sahit 4,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,71/EE/RED/Tender/2025-26 Dated-08.04.2026,2026_REDUP_1151718_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"25,000",Yes,fixed,,Nil,Nil,AOC,Technical,final,RAJNEESH KUMAR,11-Jun-2026 05:09 PM,,Rajneesh Kumar,Internal,EE AE DAO,Chaman Srivastava,22-Jul-2026 05:16 PM,finsummary_2157279.pdf (297.61 KB),Finance,FINAL,Chaman Srivastava,22-Jul-2026 05:14 PM,,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,11-Jun-2026 05:12 PM,17-Jun-2026 12:30 PM,techsummary_2157279.pdf (739.09 KB),22-Jul-2026,"INR 1,227,354",90.0,Chaman Srivastava,22-Jul-2026 05:18 PM,baghera.pdf (298.00 KB),FINAL,1,6135791,M/S GAJRAJ SINGH CONSTRUCTION COMPANY,25-May-2026 08:52 AM,Accepted-AOC,Y,22-Jul-2026 05:19 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1151718_1,71/EE/RED/Tender/2025-26 Dated-08.04.2026,Gram Baghera Block Chirgaon main Chabutara sahit 40x80 ka samudayik shed ka nirman,1.0,6135791.0,M/S GAJRAJ SINGH CONSTRUCTION COMPANY,INR,"1,227,354",AOC
,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6135807,M/S MAA SHAKUNTALA CONSTRUCTION,25-May-2026 09:01 AM,Rejected-Finance,N,22-Jul-2026 05:16 PM,,,,,,,,,,AOC
