Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Construction of ACR-2, MDM Shed and Guard Room at Composite School, Village Madhuban Bapudham, Distt. Ghaziabad","Construction of ACR-2, MDM Shed and Guard Room at Composite School, Village Madhuban Bapudham, Distt. Ghaziabad",Please refer Tender documents. ,NA ,"42,50,044",Construction Works,NA ,Tender,90.0,365.0,"Village Madhuban Bapudham, Distt. Ghaziabad",201002.0,NA ,NA ,NA ,SJ-59 SHASTRI NAGAR GHAZIABAD,No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Ghaziabad,011/EE/GZB/E-TENDER/2026-27,2026_SCIDC_1167613_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,08-Jul-2026 12:00 PM,15-Jul-2026 11:00 AM,08-Jul-2026 12:30 PM,15-Jul-2026 10:30 AM,NA ,NA ,08-Jul-2026 01:00 PM,15-Jul-2026 10:30 AM,23-Jul-2026 10:00 AM,"1,652",UPSCIDCO,GHAZIABAD,No,EXECUTIVE ENGINEER,SJ-59 SHASTRI NAGAR GHAZIABAD,1,Fee/PreQual/Technical,.pdf,TENDER FEE/EMD/TENDER DOCUMENTS,"85,000",No,fixed,,UPSCIDCO,GHAZIABAD,AOC,EXECUTIVE ENGINEER,Internal,"MAHENDRA SINGH,MOOL CHANDRA,LOKMANI RAJPUT",Mool Chandra,29-Jul-2026 12:26 PM,finsummary_2189766.pdf (567.42 KB),Technical,TECHNICAL SUMMARY,Mool Chandra,22-Jul-2026 01:25 PM,technical_2189766.pdf,EXECUTIVE ENGINEER,Internal,"MAHENDRA SINGH,MOOL CHANDRA,LOKMANI RAJPUT",Mool Chandra,22-Jul-2026 01:45 PM,23-Jul-2026 10:00 AM,techsummary_2189766.pdf (389.35 KB),Finance,BOQ COMPARATIVE CHART,Mool Chandra,29-Jul-2026 12:12 PM,finance_2189766.pdf,BOQ Comparative Chart,1.0,6248826.0,SHRI GANGE BUILDTECH PRIVATE LIMITED,INR,"4,228,793.47",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Ghaziabad,2026_SCIDC_1167613_1,011/EE/GZB/E-TENDER/2026-27,"Construction of ACR-2, MDM Shed and Guard Room at Composite School, Village Madhuban Bapudham, Distt. Ghaziabad",1,6253366,M/s Akshay Constructions,14-Jul-2026 08:50 PM,Rejected-Finance,BEING L2,29-Jul-2026 12:26 PM,29-Jul-2026,"INR 4,228,793.47",365.0,Mool Chandra,29-Jul-2026 12:28 PM,AOC011.pdf (300.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,PRICE BID,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6248826,SHRI GANGE BUILDTECH PRIVATE LIMITED,14-Jul-2026 01:37 PM,Accepted-AOC,BEING L1,29-Jul-2026 12:28 PM,,,,,,,,AOC
