Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"Construction of a Link Road from Amratavaira Marg to Wauli, Development Block Bisalpur.","Construction of a Link Road from Amratavaira Marg to Wauli, Development Block Bisalpur.",Please refer Tender documents. ,NA ,"67,67,000",Civil Works - Roads,NA ,Tender,90.0,120.0,BISALPUR PILIBHIT,262201.0,SE RED CIRCLE BAREILLY ,SE RED CIRCLE BAREILLY OFFICE ,08-May-2026 12:00 PM ,SE RED CIRCLE BAREILLY OFFICE,No ,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENT,SE RED CIRCLE BAREILLY,SE RED CIRCLE BAREILLY OFFICE,"2,354",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,27/RED/Nivida-file Pilibhit/E-Nivida/2026-27 dated 02-04-2026,2026_REDUP_1146055_28,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,36,000",No,fixed,,Nil,Nil,1.0,SBI Bank,07-May-2026 06:30 PM,22-May-2026 04:00 PM,07-May-2026 06:30 PM,22-May-2026 12:00 PM,NA ,NA ,07-May-2026 06:30 PM,22-May-2026 12:00 PM,09-Jun-2026 12:30 PM,AOC,Finance,financial open,RAJESH KUMAR,11-Jun-2026 04:46 PM,finance_2143691.pdf,BOQ Comparative Chart,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILLYEEREDDIVISIONPILIBHITEEREDDIVISIONBADAUNDAOREDDIVISIONPILIBHIT,RAJESH KUMAR,11-Jun-2026 05:03 PM,finsummary_2143691.pdf (1078.05 KB),1.0,6116711.0,M/S ARVIND KUMAR SINGH,INR,"7,973,550",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,2026_REDUP_1146055_28,27/RED/Nivida-file Pilibhit/E-Nivida/2026-27 dated 02-04-2026,"Construction of a Link Road from Amratavaira Marg to Wauli, Development Block Bisalpur.",1,6132588,INDAR PAL CONTRACTOR,21-May-2026 09:23 PM,Rejected-Finance,due to higher rate,11-Jun-2026 05:03 PM,29-Jun-2026,"INR 7,973,550",120.0,RAJESH KUMAR,01-Jul-2026 12:30 PM,28PBT.pdf (575.00 KB),"AOC OF THE WORK - Construction of a Link Road from Amratavaira Marg to Wauli, Development Block Bisalpur.",Technical,BID OPEN,RAJESH KUMAR,03-Jun-2026 05:19 PM,technical_2143691.pdf,SEREDCIRCLEBAREILLY,Internal,"SEREDCIRCLEBAREILLY, EEREDDIVISIONBPILIBHIT, EEREDDIVISIONBADAUN, DAOREDDIVISIONPILIBHIT",RAJESH KUMAR,03-Jun-2026 05:23 PM,09-Jun-2026 12:30 PM,techsummary_2143691.pdf (418.43 KB),AOC
,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6116711,M/S ARVIND KUMAR SINGH,22-May-2026 12:45 AM,Accepted-AOC,DUE TO LOWER RATE,01-Jul-2026 12:30 PM,,,,,,,,,,,,,,,,,,,,AOC
