Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"4,553",Nil,Nil,No,"C/o Balance RCC Drain of 100m wide road b/w Sector-20 and 21, YEA. WC-02","C/o Balance RCC Drain of 100m wide road b/w Sector-20 and 21, YEA. WC-02",Please refer Tender documents. ,NA ,"2,78,26,540",Civil Works,NA ,Tender,90.0,279.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",1.0,SBI Bank,12-Mar-2026 06:55 PM,25-Mar-2026 11:00 AM,12-Mar-2026 06:55 PM,24-Mar-2026 05:00 PM,NA ,NA ,12-Mar-2026 06:55 PM,24-Mar-2026 05:00 PM,27-Apr-2026 03:00 PM,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2026/480 DT-27/02/2026,2026_YEIDA_1122864_33,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"5,56,550",No,fixed,,Nil,Nil,AOC,Yamuna Expressway Industrial Development Authority,2026_YEIDA_1122864_33,YEA/GM(PROJECT)/2026/480 DT-27/02/2026,"C/o Balance RCC Drain of 100m wide road b/w Sector-20 and 21, YEA. WC-02",1,6003790,ARVIK ENTERPRISES,24-Mar-2026 03:24 PM,Rejected-Finance,L3,04-May-2026 04:42 PM,1.0,6003846.0,M/S ARY INFRATECH,INR,"16,976,972.35",Committee,Internal,Committee,RAJENDRA SINGH BHATI,04-May-2026 04:42 PM,finsummary_2095082.pdf (499.67 KB),Finance,EVALUATION,RAJENDRA SINGH BHATI,04-May-2026 04:22 PM,,BOQ Comparative Chart,Technical,EVALUATION,VIKAS KUMAR,27-Apr-2026 02:29 PM,,04-May-2026,"INR 16,976,972.35",279.0,RAJENDRA SINGH BHATI,01-Jul-2026 05:31 PM,ary.pdf (890.00 KB),aoc,Committee,Internal,Committee,BHARAM PAL SINGH,27-Apr-2026 02:57 PM,27-Apr-2026 03:00 PM,techsummary_2095082.pdf (761.18 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,6003846,M/S ARY INFRATECH,24-Mar-2026 04:26 PM,Accepted-AOC,L1,01-Jul-2026 05:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,6002576,M/S ISHU CONSTRUCTION,24-Mar-2026 04:51 PM,Rejected-Finance,L2,04-May-2026 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,6002358,M/s PULKIT KUMAR BUILDERS,24-Mar-2026 02:43 PM,Rejected-Finance,L6,04-May-2026 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,6002516,M/S RPS ASSOCIATES,24-Mar-2026 01:33 PM,Rejected-Finance,L4,04-May-2026 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,5998517,PRANIT BUILDERS PRAVITE LIMTIED,24-Mar-2026 08:58 AM,Rejected-Finance,L8,04-May-2026 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,5999958,Raja contractors & engineers,24-Mar-2026 02:37 PM,Rejected-Finance,L7,04-May-2026 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,6002792,SBST DEVELOPERS PRIVATE LIMITED,24-Mar-2026 03:02 PM,Rejected-Finance,L5,04-May-2026 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,6003878,Vardhman Infrastructure,24-Mar-2026 03:49 PM,Rejected-Finance,L9,04-May-2026 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
