S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,SBI Bank,"27,000",Yes,fixed,,Nil,Nil,"Ward no 13, Kochabhawar Khetra main ek Yatri shed ka Nirman karya.","Ward no 13, Kochabhawar Khetra main ek Yatri shed ka Nirman karya.",Please refer Tender documents. ,NA ,"13,18,000",Civil Works,NA ,Tender,90.0,90.0,"Ward no 13, Kochabhawar Khetra main ek Yatri shed",284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,85/RED/Tender/2025-26 Dated-08.04.2026,2026_REDUP_1148834_17,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,1.0,date extand,Date,,EE RED Jhansi,EE RED Jhansi,1,Fee/PreQual/Technical,.pdf,sbd,16-May-2026 09:00 AM,08-Jun-2026 03:30 PM,16-May-2026 09:00 AM,08-Jun-2026 12:00 PM,NA ,NA ,16-May-2026 09:00 AM,08-Jun-2026 12:00 PM,30-Jun-2026 12:30 PM,AOC,1.0,6175085.0,JAYA SRI INDUSTRIES,INR,"1,315,281",Rajneesh Kumar,Internal,EE AE DAO,Chaman Srivastava,06-Jul-2026 01:21 PM,finsummary_2150914.pdf (1018.99 KB),Finance,FINAL,Chaman Srivastava,06-Jul-2026 01:16 PM,,BOQ Comparative Chart,1,6175085,JAYA SRI INDUSTRIES,07-Jun-2026 04:52 PM,Accepted-AOC,Y,06-Jul-2026 01:23 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2026_REDUP_1148834_17,85/RED/Tender/2025-26 Dated-08.04.2026,"Ward no 13, Kochabhawar Khetra main ek Yatri shed ka Nirman karya.",Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,27-Jun-2026 03:23 PM,30-Jun-2026 12:30 PM,techsummary_2150914.pdf (261.26 KB),06-Jul-2026,"INR 1,315,281",90.0,Chaman Srivastava,06-Jul-2026 01:23 PM,wardno13.pdf (1019.00 KB),FINAL,Technical,final,RAJNEESH KUMAR,27-Jun-2026 03:19 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6168616,M/S MAA SHAKUNTALA CONSTRUCTION,05-Jun-2026 08:50 AM,Rejected-Finance,N,06-Jul-2026 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
