Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
Technical,Summary,Sujeet Kumar Sinha,06-Jun-2026 02:54 PM,,05-Jul-2026,"INR 4,253,290.08",180.0,Sujeet Kumar Sinha,04-Jul-2026 06:07 PM,610_37.pdf (433.00 KB),Er S K Sinha SE RED Devipatan Circle Gonda,Internal,"Er S K Sinha SE RED Devipatan Circle Gonda, Er S K Sinha EE RED Bahraich, Er Kamal Kishore EE RED Balrampur, Mt Ankur Mishra DAO RED Bahraich",Sujeet Kumar Sinha,06-Jun-2026 04:24 PM,12-Jun-2026 12:00 PM,techsummary_2147252.pdf (335.03 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE,2026_REDUP_1147606_37,610/SE RED Devipatan/Bahraich/25-26 Dt 19/03/2026,"Under District Bahraich, Construction of interlocking road from Daddan Goswami house to canal bridge in Gram Panchayat Lakhahiputli Tara, Lot No 37",1,6116314,Satya Narain Tiwari,24-May-2026 11:15 AM,Accepted-AOC,AoC,04-Jul-2026 06:07 PM,"Er S K Sinha SE RED DEVIPATAN CIRCLE, GONDA",Internal,,Sujeet Kumar Sinha,04-Jul-2026 06:05 PM,finsummary_2147252.pdf (433.13 KB),Finance,Summary,Sujeet Kumar Sinha,18-Jun-2026 05:36 PM,,BOQ Comparative Chart,1.0,6116314.0,Satya Narain Tiwari,INR,"4,253,290.08",AOC,"5,000",Nil,Nil,No,"SE RED, Devipatan Circle Gonda","SE RED, Devipatan Circle Gonda, Near SP Awas, Police Line, Gonda","Under District Bahraich, Construction of interlocking road from Daddan Goswami house to canal bridge in Gram Panchayat Lakhahiputli Tara, Lot No 37","Under District Bahraich, Construction of interlocking road from Daddan Goswami house to canal bridge in Gram Panchayat Lakhahiputli Tara, Lot No 37",Please refer Tender documents. ,NA ,"36,14,000",Civil Works,NA ,Tender,90.0,NA ,Bahraich,271801.0,"SE RED, Devipatan Circle Gonda ","SE RED, Devipatan Circle Gonda, Near SP Awas, Police Line, Gonda  ",18-May-2026 11:00 AM ,"SE RED, Devipatan Circle Gonda",No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE,610/SE RED Devipatan/Bahraich/25-26 Dt 19/03/2026,2026_REDUP_1147606_37,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,12-May-2026 12:00 PM,29-May-2026 12:30 PM,12-May-2026 12:00 PM,28-May-2026 12:00 PM,NA ,NA ,12-May-2026 12:00 PM,28-May-2026 12:00 PM,12-Jun-2026 12:00 PM,"72,280",No,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,2,6116353,SUSHILA DEVI,28-May-2026 07:32 AM,Rejected-Finance,Rejected,04-Jul-2026 06:05 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,AOC
