Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er. Bharat Ram,Internal,,Bharat Ram,06-Mar-2026 02:58 PM,06-Mar-2026 04:30 PM,techsummary_2069602.pdf (665.92 KB),Technical,Attached,Bharat Ram,06-Mar-2026 01:10 PM,,11-Mar-2026,"INR 1,168,907.6",20.0,Bharat Ram,16-Jul-2026 02:39 PM,dhobainiya.pdf (161.00 KB),1.0,Revocation,Attached,06-Mar-2026 11:37 AM,Sudhhipatra.pdf ,20.77,Technical Opening,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",2026_UPIDC_1112264_31,15/EE/2025-26,Silt Clearance work of Dhobainia Drain Near Village-Bhagaha from km. 6.050 to km. 6.695 and near village-Labedpur from km. 4.250 to km. 4.950 in Distt- Balrampur,1,5893896,AMAN CONSTRUCTION,18-Feb-2026 06:57 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:58 PM,1.0,5901037.0,M/S DINESH KUMAR,INR,"1,168,907.6",Er. Bharat Ram,Internal,,Bharat Ram,10-Mar-2026 01:33 PM,finsummary_2069602.pdf (85.87 KB),Finance,Attached,Bharat Ram,10-Mar-2026 01:30 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Technical Document,Executive Engineer,Flood Division Balrampur,1.0,SBI Bank,Silt Clearance work of Dhobainia Drain Near Village-Bhagaha from km. 6.050 to km. 6.695 and near village-Labedpur from km. 4.250 to km. 4.950 in Distt- Balrampur,As Per Tender Notice,As Per Tender Notice ,NA ,"25,52,000",Civil Works,NA ,Tender,90.0,20.0,Balrampur,271201.0,NA ,NA ,NA ,Balrampur,No ,No,13-Feb-2026 10:00 AM,20-Feb-2026 03:00 PM,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,NA ,NA ,13-Feb-2026 10:00 AM,20-Feb-2026 02:00 PM,06-Mar-2026 04:30 PM,854.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak Flood Circle, Basti||EE FLOOD DIVISION, BALRAMPUR",15/EE/2025-26,2026_UPIDC_1112264_31,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"51,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5901442,Jabir Khan,20-Feb-2026 11:58 AM,Rejected-Finance,L2,10-Mar-2026 01:33 PM,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5901392,M/S AMIT TRADERS,20-Feb-2026 11:35 AM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:58 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5891013,M/S ANIL KUMAR SINGH CONSTRUCTION AND GENERAL ORDER SUPPLIERS,20-Feb-2026 01:09 PM,Rejected-Finance,L5,10-Mar-2026 01:33 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5897304,M/s Anil Kumar Srivastava Contractor,20-Feb-2026 01:15 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:58 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5901498,M/S CHANDA CONSTRUCTION,20-Feb-2026 12:55 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:58 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5901037,M/S DINESH KUMAR,20-Feb-2026 11:54 AM,Accepted-AOC,L1,16-Jul-2026 02:39 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5901654,m/s kanihya lal yadav,20-Feb-2026 12:32 PM,Rejected-Finance,L4,10-Mar-2026 01:33 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5901470,M/S R K CONSTRUCTION,20-Feb-2026 12:48 PM,Rejected-Technical,Technical Bid Not Qualified,06-Mar-2026 02:58 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5896392,Onkar nath Dwevedi,20-Feb-2026 10:40 AM,Rejected-Finance,L3,10-Mar-2026 01:33 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
