Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,652",UPSCIDCO,GHAZIABAD,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Ghaziabad,012/EE/GZB/E-TENDER/2026-27,2026_SCIDC_1167617_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EXECUTIVE ENGINEER,SJ-59 SHASTRI NAGAR GHAZIABAD,"Construction of ACR-3 and Guard Room at Composite School, Village Morti, Block Razapur, Distt. Ghaziabad","Construction of ACR-3 and Guard Room at Composite School, Village Morti, Block Razapur, Distt. Ghaziabad",Please refer Tender documents. ,NA ,"41,26,923",Construction Works,NA ,Tender,90.0,365.0,"Village Morti, Block Razapur, Distt. Ghaziabad",201003.0,NA ,NA ,NA ,SJ-59 SHASTRI NAGAR GHAZIABAD,No ,No,1.0,RTGS - RTGS Payment,08-Jul-2026 12:00 PM,15-Jul-2026 11:00 AM,08-Jul-2026 12:30 PM,15-Jul-2026 10:30 AM,NA ,NA ,08-Jul-2026 01:00 PM,15-Jul-2026 10:30 AM,23-Jul-2026 10:00 AM,1,Fee/PreQual/Technical,.pdf,TENDER FEE/EMD/TENDER DOCUMENTS,"82,500",No,fixed,,UPSCIDCO,GHAZIABAD,AOC,Technical,TECHNICAL SUMMARY,Mool Chandra,22-Jul-2026 01:24 PM,technical_2189772.pdf,EXECUTIVE ENGINEER,Internal,"MAHENDRA SINGH,MOOL CHANDRA,LOKMANI RAJPUT",Mool Chandra,29-Jul-2026 12:35 PM,finsummary_2189772.pdf (567.94 KB),Finance,BOQ COMPARATIVE CHART,Mool Chandra,29-Jul-2026 12:13 PM,finance_2189772.pdf,BOQ Comparative Chart,EXECUTIVE ENGINEER,Internal,"MAHENDRA SINGH,MOOL CHANDRA,LOKMANI RAJPUT",Mool Chandra,22-Jul-2026 01:47 PM,23-Jul-2026 10:00 AM,techsummary_2189772.pdf (377.78 KB),29-Jul-2026,"INR 4,105,462.77",365.0,Mool Chandra,29-Jul-2026 12:37 PM,AOC012.pdf (304.00 KB),AOC,1,6253362,M/s Akshay Constructions,14-Jul-2026 08:49 PM,Accepted-AOC,BEING L1,29-Jul-2026 12:37 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Ghaziabad,2026_SCIDC_1167617_1,012/EE/GZB/E-TENDER/2026-27,"Construction of ACR-3 and Guard Room at Composite School, Village Morti, Block Razapur, Distt. Ghaziabad",1.0,6253362.0,M/s Akshay Constructions,INR,"4,105,462.77",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,PRICE BID,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6254166,SHRI GANGE BUILDTECH PRIVATE LIMITED,14-Jul-2026 09:10 PM,Rejected-Finance,BEING L2,29-Jul-2026 12:35 PM,,,,,,,,,,AOC
