Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"2,354",Nil,Nil,No,"Interlocking work leading towards Kusak village, commencing from the passenger shelter situated along NH-30.","Interlocking work leading towards Kusak village, commencing from the passenger shelter situated along NH-30.",Please refer Tender documents. ,NA ,"46,02,000",Civil Works - Roads,NA ,Tender,90.0,90.0,TILHAR SHAHJAHANPUR,242001.0,SE RED CIRCLE BAREILLY OFFICE ,SE RED CIRCLE BAREILLY OFFICE ,13-May-2026 12:00 PM ,SE RED CIRCLE BAREILLY OFFICE,No ,No,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,2026_REDUP_1147416_19,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SE RED CIRCLE BAREILLY,SE RED CIRCLE BAREILLY OFFICE,12-May-2026 02:00 PM,28-May-2026 04:00 PM,12-May-2026 02:00 PM,28-May-2026 12:00 PM,NA ,NA ,12-May-2026 02:00 PM,28-May-2026 12:00 PM,16-Jun-2026 12:30 PM,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENT,"93,000",No,fixed,,Nil,Nil,AOC,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILYEEREDDIVSIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,26-Jun-2026 03:37 PM,finsummary_2147414.pdf (1273.35 KB),Finance,financial bid open,RAJESH KUMAR,26-Jun-2026 03:35 PM,finance_2147414.pdf,BOQ Comparative Chart,1.0,6141703.0,M/S ARVIND KUMAR SINGH,INR,"5,424,744",1,6141812,INDAR PAL CONTRACTOR,25-May-2026 07:29 PM,Rejected-Finance,due to higher rate,26-Jun-2026 03:37 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,2026_REDUP_1147416_19,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,"Interlocking work leading towards Kusak village, commencing from the passenger shelter situated along NH-30.",03-Jul-2026,"INR 5,424,744",90.0,RAJESH KUMAR,06-Jul-2026 01:34 PM,24shah19.pdf (839.00 KB),"AOC OF THE WORK - Interlocking work leading towards Kusak village, commencing from the passenger shelter situated along NH-30.",Technical,bid open,RAJESH KUMAR,10-Jun-2026 11:53 AM,technical_2147414.pdf,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILLYEEREDDIVISIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,10-Jun-2026 11:56 AM,16-Jun-2026 12:30 PM,techsummary_2147414.pdf (679.86 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENT,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6141703,M/S ARVIND KUMAR SINGH,25-May-2026 06:53 PM,Accepted-AOC,DUE TO LOWER RATE,06-Jul-2026 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
