Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
27-Jul-2026,"INR 1,551,037",90.0,SHUBHAM PARLE,27-Jul-2026 03:51 PM,jasadsultanomprakrash.pdf (692.00 KB),V D CONTRACTOR,1,6119950,M/S V D CONTRACTOR,18-May-2026 04:55 PM,Accepted-AOC,L1 BIDDER,27-Jul-2026 03:51 PM,1.0,6119950.0,M/S V D CONTRACTOR,INR,"1,551,037",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,2026_REDUP_1147099_1,12/RED/Tavrit/26-27/dt-2-4-26,Jasar sultan nagar khurd vikas khand soorpur khurd mai omprakash saini ke makan se bablu s/o farukh ke makan tak interlocking tile work.,Technical,Technical bid open,SHUBHAM PARLE,25-May-2026 02:17 PM,technical_2145416.pdf,EE RED MEERUT DIVISION,Internal,,SHUBHAM PARLE,27-Jul-2026 03:41 PM,finsummary_2145416.pdf (692.37 KB),Finance,financial bid open,UDAY SHANKAR,27-Jul-2026 03:10 PM,,BOQ Comparative Chart,EE RED MEERUT DIVISION,Internal,01-EE RED MEERUT DIVISION 02-AE RED MEERUT DIVISION 03-DAO RED MEERUT DIVISION,SHUBHAM PARLE,31-May-2026 11:46 AM,05-Jun-2026 12:30 PM,techsummary_2145416.pdf (210.43 KB),AOC,944.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,12/RED/Tavrit/26-27/dt-2-4-26,2026_REDUP_1147099_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Jasar sultan nagar khurd vikas khand soorpur khurd mai omprakash saini ke makan se bablu s/o farukh ke makan tak interlocking tile work.,Jasar sultan nagar khurd vikas khand soorpur khurd mai omprakash saini ke makan se bablu s/o farukh ke makan tak interlocking tile work.,Please refer Tender documents. ,NA ,"13,26,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Mee,250002.0,NA ,NA ,NA ,EE RED MEERUT DIVISION,No ,No,"27,000",No,fixed,,Nil,Nil,14-May-2026 10:00 AM,22-May-2026 12:30 PM,14-May-2026 10:00 AM,21-May-2026 12:00 PM,NA ,NA ,14-May-2026 10:00 AM,21-May-2026 12:00 PM,05-Jun-2026 12:30 PM,EE RED MEERUT DIVISION,VIKAS BHAWAN 2ND FLOOR COLLECTORATE MEERUT,1,Fee/PreQual/Technical,.pdf,Document,1.0,SBI Bank,AOC
,,,,,,,2,6119828,RUDRA CONTRACTOR AND SUPPLIERS,19-May-2026 12:08 AM,Rejected-Finance,high rate,27-Jul-2026 03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,AOC
