Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE,492/SE RED Lucknow/Sitapur/26-27 Dt 20/05/2026,2026_REDUP_1155809_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SE RED Lucknow Circle,"SE RED, Near Vikas Bhawan, Sarvoday Nagar, Lucknow, 226016","85,340",No,percentage,2.0%,Nil,Nil,30-May-2026 06:55 PM,11-Jun-2026 12:30 PM,30-May-2026 06:55 PM,10-Jun-2026 12:00 PM,NA ,NA ,30-May-2026 06:55 PM,10-Jun-2026 12:00 PM,26-Jun-2026 12:00 PM,"Under District Sitapur, Construction of Interlocking Road from Shiva temple to Shri Niwas Maurya house located on Benipur road in village Semari of Khand Rampur Mathura, Lot No 8","Under District Sitapur, Construction of Interlocking Road from Shiva temple to Shri Niwas Maurya house located on Benipur road in village Semari of Khand Rampur Mathura, Lot No 8",Please refer Tender documents. ,NA ,"42,67,000",Civil Works,NA ,Tender,90.0,NA ,Sitapur,261001.0,SE RED Lucknow Circle  ,"SE RED, Near Vikas Bhawan, Sarvoday Nagar, Lucknow, 226016  ",05-Jun-2026 11:00 AM ,SE RED Lucknow Circle,No ,No,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,1.0,SBI Bank,1.0,Date Extend,Date,,"5,000",Nil,Nil,No,AOC,Finance,Summary,Gyanedra Kumar,27-Jun-2026 01:26 PM,,BOQ Comparative Chart,Er Gyanendra Kumar SE RED Lucknow,Internal,"Er Gyanendra Kumar SE RED Lucknow, Er R P Singh EE RED Sitapur, Er S K Rai EE RED Raebareli, Mr A K Sahu DAO RED Sitapur",Gyanendra Kumar,25-Jun-2026 03:35 PM,26-Jun-2026 12:00 PM,techsummary_2165284.pdf (351.00 KB),Technical,Summary,Gyanedra Kumar,12-Jun-2026 03:10 PM,,Er Gyanendra Kumar SE RED Lucknow Circle,Internal,,Gyanendra Kumar,16-Jul-2026 05:25 PM,finsummary_2165284.pdf (333.33 KB),17-Jul-2026,"INR 4,248,983",90.0,Gyanendra Kumar,16-Jul-2026 05:57 PM,492_8.pdf (333.00 KB),1,6176423,M/S PAWAN SUT ENTERPRISES,07-Jun-2026 04:16 PM,Rejected-Finance,Rejected,16-Jul-2026 05:25 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE,2026_REDUP_1155809_8,492/SE RED Lucknow/Sitapur/26-27 Dt 20/05/2026,"Under District Sitapur, Construction of Interlocking Road from Shiva temple to Shri Niwas Maurya house located on Benipur road in village Semari of Khand Rampur Mathura, Lot No 8",1.0,6176373.0,Yashoda Nandan Shukla,INR,"4,248,983",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(Boq),,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6176373,Yashoda Nandan Shukla,07-Jun-2026 05:40 PM,Accepted-AOC,AOC,16-Jul-2026 05:57 PM,,,,,,,,,,AOC
