Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE SONBHADRA,27/SE RED/ 2026-27 DATE- 07.04.2026,2026_REDUP_1147093_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,NAGAR PALIKA PARISAD SONBHADRA KE WARD NO 05 ME LAKHAN BABA MANDIR SE RAIS MIL TAK SAMPARK MARGE KA NIRMAN,NAGAR PALIKA PARISAD SONBHADRA KE WARD NO 05 ME LAKHAN BABA MANDIR SE RAIS MIL TAK SAMPARK MARGE KA NIRMAN,AS PER NIT AND T2 ,NA ,,Civil Works,NA ,Tender,90.0,90.0,NAGAR PALIKA,231216.0,NA ,NA ,NA ,SE RED MIRZAPUR,No ,No,09-May-2026 04:00 PM,18-May-2026 12:00 PM,09-May-2026 04:00 PM,18-May-2026 09:00 AM,NA ,NA ,09-May-2026 04:00 PM,18-May-2026 09:00 AM,23-Jun-2026 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,tech doc,"3,069",Nil,Nil,No,1.0,SBI Bank,SE RED MIRZAPUR,JHANVI HOTEL PUTLIGHAR MIRZAPUR,"71,000",No,fixed,,Nil,Nil,AOC,SE,Internal,EE SBR EE MZP DAO,Jayprakash Dhawan,20-Jun-2026 03:33 PM,23-Jun-2026 12:00 PM,techsummary_2145400.pdf (240.88 KB),Finance,atta,Sanjay Srivastava,04-Jul-2026 03:07 PM,finance_2145400.pdf,BOQ Comparative Chart,se,Internal,"ee sbr, ee mzp dao",Sanjay Srivastava,04-Jul-2026 03:09 PM,finsummary_2145400.pdf (137.23 KB),Technical,ATTACHED,Jayprakash Dhawan,20-Jun-2026 03:30 PM,technical_2145400.pdf,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE SONBHADRA,2026_REDUP_1147093_1,27/SE RED/ 2026-27 DATE- 07.04.2026,NAGAR PALIKA PARISAD SONBHADRA KE WARD NO 05 ME LAKHAN BABA MANDIR SE RAIS MIL TAK SAMPARK MARGE KA NIRMAN,1.0,6123018.0,Arti Construction,INR,"3,538,559.692",1,6123018,Arti Construction,17-May-2026 10:05 PM,Accepted-AOC,l1,17-Jul-2026 01:30 PM,17-Jul-2026,"INR 3,538,559.692",90.0,Sanjay Srivastava,17-Jul-2026 01:30 PM,lakhan.pdf (194.00 KB),l1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,fc doc,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6121308,Samar Construction,17-May-2026 12:22 PM,Rejected-Technical,PRE BID NOT QUALIFY,20-Jun-2026 03:33 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6121773,Suresh Nath,18-May-2026 12:07 AM,Rejected-Finance,l2,04-Jul-2026 03:09 PM,,,,,,,,AOC
