Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE HARDOI,LETTAR NO 435 DATE 15.05.2026,2026_REDUP_1150831_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,944.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,E.E.R.E.D HARDOI,E.E.R.E.D HARDOI,"20,000",Yes,fixed,,Nil,Nil,MUNNE MIYAN CHAURAHE SE HINDI PATHSHALA TIRAHE TAK EK COAT PAINTING KA KARYA,MUNNE MIYAN CHAURAHE SE HINDI PATHSHALA TIRAHE TAK EK COAT PAINTING KA KARYA,MUNNE MIYAN CHAURAHE SE HINDI PATHSHALA TIRAHE TAK EK COAT PAINTING KA KARYA ,NA ,"9,82,000",Civil Works,NA ,Tender,90.0,90.0,HARDOI,241001.0,NA ,NA ,NA ,E.E.R.E.D HARDOI.,No ,No,20-May-2026 10:00 AM,25-May-2026 12:30 PM,20-May-2026 10:00 AM,25-May-2026 12:00 PM,NA ,NA ,20-May-2026 10:00 AM,25-May-2026 12:00 PM,29-May-2026 12:30 PM,AOC,EE,Internal,EE AE DAO,Pradeep Pal,30-Jun-2026 11:16 AM,finsummary_2155314.pdf (279.13 KB),Technical,EE AE DAO,Pradeep Pal,25-May-2026 05:14 PM,technical_2155314.pdf,EE,Internal,EE AE DAO,Pradeep Pal,25-May-2026 05:16 PM,29-May-2026 12:30 PM,techsummary_2155314.pdf (420.84 KB),Finance,EE AE DAO,Pradeep Pal,30-Jun-2026 11:13 AM,finance_2155314.pdf,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE HARDOI,2026_REDUP_1150831_1,LETTAR NO 435 DATE 15.05.2026,MUNNE MIYAN CHAURAHE SE HINDI PATHSHALA TIRAHE TAK EK COAT PAINTING KA KARYA,1.0,6138449.0,M/S Ram Sewak Har Govind Sahai,INR,"981,289.988",1,6138449,M/S Ram Sewak Har Govind Sahai,24-May-2026 09:21 AM,Accepted-AOC,RESPONSIVE,15-Jul-2026 04:18 PM,30-Jun-2026,"INR 981,289.988",90.0,Pradeep Pal,15-Jul-2026 04:18 PM,MUNNE.pdf (279.00 KB),EE AE DAO,AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6139573,M/S SANKAT MOCHAN CONSTRUCTION,25-May-2026 01:08 AM,Rejected-AOC,RESPONSIVE,15-Jul-2026 04:18 PM,,,,,,,,AOC
