Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
12-May-2026 12:00 PM,29-May-2026 12:30 PM,12-May-2026 12:00 PM,28-May-2026 12:00 PM,NA ,NA ,12-May-2026 12:00 PM,28-May-2026 12:00 PM,12-Jun-2026 12:00 PM,"SE RED, Devipatan Circle Gonda","SE RED, Devipatan Circle Gonda, Near SP Awas, Police Line, Gonda",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE,610/SE RED Devipatan/Bahraich/25-26 Dt 19/03/2026,2026_REDUP_1147606_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,"Under District Bahraich, Construction of interlocking road from Lucknow Bahraich road in Mohalla Saraswatinagar to Sheikhdahir link road via Indrajit Verma Shrikesan and Arogya Mandir, Lot No 11","Under District Bahraich, Construction of interlocking road from Lucknow Bahraich road in Mohalla Saraswatinagar to Sheikhdahir link road via Indrajit Verma Shrikesan and Arogya Mandir, Lot No 11",Please refer Tender documents. ,NA ,"79,45,000",Civil Works,NA ,Tender,90.0,NA ,Bahraich,271801.0,"SE RED, Devipatan Circle Gonda ","SE RED, Devipatan Circle Gonda, Near SP Awas, Police Line, Gonda  ",18-May-2026 11:00 AM ,"SE RED, Devipatan Circle Gonda",No ,No,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,1.0,SBI Bank,"1,58,900",No,percentage,2.0%,Nil,Nil,AOC,Finance,Summary,Sujeet Kumar Sinha,18-Jun-2026 04:20 PM,,BOQ Comparative Chart,Er S K Sinha Devipatan Circle Gonda,Internal,,Sujeet Kumar Sinha,15-Jul-2026 11:18 AM,finsummary_2147198.pdf (1147.65 KB),1.0,6145227.0,M/s Vikram Jaiswal,INR,"9,349,522.85",1,6145202,BAWANDALY SINGH,28-May-2026 01:26 AM,Rejected-Finance,Rejected,15-Jul-2026 11:18 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE,2026_REDUP_1147606_11,610/SE RED Devipatan/Bahraich/25-26 Dt 19/03/2026,"Under District Bahraich, Construction of interlocking road from Lucknow Bahraich road in Mohalla Saraswatinagar to Sheikhdahir link road via Indrajit Verma Shrikesan and Arogya Mandir, Lot No 11",Er S K Sinha SE RED Devipatan Circle Gonda,Internal,"Er S K Sinha SE RED Devipatan Circle Gonda, Er S K Sinha EE RED Bahraich, Er Kamal Kishore EE RED Balrampur, Mt Ankur Mishra DAO RED Bahraich",Sujeet Kumar Sinha,06-Jun-2026 04:06 PM,12-Jun-2026 12:00 PM,techsummary_2147198.pdf (340.61 KB),16-Jul-2026,"INR 9,349,522.85",365.0,Sujeet Kumar Sinha,15-Jul-2026 11:21 AM,610_11.pdf (1148.00 KB),Technical,Summary,Sujeet Kumar Sinha,06-Jun-2026 02:58 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6145227,M/s Vikram Jaiswal,28-May-2026 01:01 AM,Accepted-AOC,AoC,15-Jul-2026 11:21 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
