Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee,.pdf,Corrigendum Date,"11,000",Yes,fixed,,Nil,Nil,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,01/EE/2026-27,2026_UPIDC_1145201_16,Yes,Open Tender,Item Wise,Works,3.0,No,No,Online,No,No,No,266.0,Nil,Nil,No,05-May-2026 05:00 PM,15-May-2026 12:00 PM,05-May-2026 05:00 PM,14-May-2026 05:00 PM,05-May-2026 05:00 PM ,11-May-2026 05:00 PM ,05-May-2026 05:00 PM,14-May-2026 05:00 PM,26-May-2026 12:00 PM,Clearance of Rajpura Drain,Clearance of Rajpura Drain,Please Refer Tender Document ,NA ,"5,15,000",Civil Works,NA ,Tender,90.0,20.0,Clearance of Rajpura Drain,282001.0,NA ,NA ,NA ,Agra,No ,No,1.0,SBI Bank,1.0,date and conditions,Date,,Executive Engineer,"Lower Division Agra Canal, Agra",AOC,1.0,6102608.0,RAJKUMAR SHARMA CONTRACTOR,INR,"283,395.58",Neeraj Kumar Singh,Internal,"Binod Kumar Singh, Neeraj Kumar Singh",NEERAJ KUMAR SINGH,24-Jun-2026 05:56 PM,finsummary_2141081.pdf (372.47 KB),Finance,Admitted,NEERAJ KUMAR SINGH,26-May-2026 05:34 PM,,BOQ Comparative Chart,1,6115690,A K INFRATECH,14-May-2026 02:16 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 01:55 PM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra||E E Lower Division Agra Canal Agra,2026_UPIDC_1145201_16,01/EE/2026-27,Clearance of Rajpura Drain,01-Jul-2026,"INR 283,395.58",20.0,NEERAJ KUMAR SINGH,01-Jul-2026 03:26 PM,Rajpura.pdf (372.00 KB),Accepted,Technical,Admitted,NEERAJ KUMAR SINGH,16-May-2026 11:34 AM,,Neeraj Kumar Singh,Internal,"Binod Kumar Singh, Neeraj Kumar Singh",NEERAJ KUMAR SINGH,25-May-2026 01:55 PM,26-May-2026 12:00 PM,techsummary_2141081.pdf (279.93 KB),AOC
2.0,PreQual/Technical,.pdf,NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6105224,CORNHILL CONSTRUCTION,11-May-2026 11:35 AM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 01:55 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,6103644,M.K. ENTERPRISES,10-May-2026 07:01 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 01:55 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,6114810,M/S SANTOSH KUMAR UPADHYAY CONTRACTOR,14-May-2026 10:19 AM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 01:55 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,5,6115031,M/s SHASHAVEER SINGH CONTRACTOR AND SUPPLIERS,14-May-2026 11:54 AM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 01:55 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,6,6114327,M/S SRASHTI INFRASTRUCTURE,14-May-2026 07:07 AM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 01:55 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,7,6116024,Pl Engineering & construction,14-May-2026 04:07 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 01:55 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,8,6115668,PREETI ASSOCIATES,14-May-2026 02:41 PM,Rejected-Technical,Due to Sufficient Document not Submitted,25-May-2026 01:55 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,9,6113563,PUSHPENDRA KUMAR CONTRACTOR,14-May-2026 04:17 PM,Rejected-Finance,L2,24-Jun-2026 05:56 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,10,6102608,RAJKUMAR SHARMA CONTRACTOR,13-May-2026 03:20 PM,Accepted-AOC,L1,01-Jul-2026 03:26 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
