Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
EE DEVENDRA KUMAR SAHAI,Internal,1 EE DEVENDRA KUMAR SAHAI 2 EE SUNIL KUMAR BHASKAR 3 VISHAL PORVAL,Devendra Kumar Sahai,05-Jun-2026 10:59 PM,08-Jun-2026 11:00 AM,techsummary_2163831.pdf (220.06 KB),15-Jun-2026,"INR 129,988.87",10.0,Devendra Kumar Sahai,31-Jul-2026 09:33 AM,08SatyaPrakashTiwari.pdf (516.00 KB),Lot No. 08(Clearance of jhabarya drain below nahil from km 0.000 to 4.830 For year 2026-27),Technical,05 BID ADMITTED,Devendra Kumar Sahai,04-Jun-2026 01:40 PM,technical_2163831.pdf,EE DEVENDRA KUMAR SAHAI,Internal,1 EE DEVENDRA KUMAR SAHAI 2 EE SUNIL KUMAR BHASKAR 3 EE VISHAL PORVAL,Devendra Kumar Sahai,09-Jun-2026 06:55 PM,finsummary_2163831.pdf (395.06 KB),Finance,05 BID ADMITTED,Devendra Kumar Sahai,08-Jun-2026 12:13 PM,finance_2163831.pdf,BOQ Comparative Chart,1.0,6162932.0,M/S SATYA PRAKSH TIWARI,INR,"129,988.87","U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||NWMPD, shahjahanpur",2026_UPIDC_1146061_16,NIT No. 01/EE/2026-27 dt.02.05.2026,Clearance of jhabarya drain below nahil from km 0.000 to 4.830 For year 2026-27,1,6164854,DREAM WORLD DEVELOPMENT CONSTRUCTION,03-Jun-2026 02:25 PM,Rejected-Finance,L5,09-Jun-2026 06:55 PM,AOC,1.0,SBI Bank,Executive Engineer NWMP S.C. Div. Shahjahanpur,Office of the EE NWMP S.C. Div. Shahjahanpur,30-May-2026 09:00 AM,04-Jun-2026 11:00 AM,30-May-2026 09:00 AM,04-Jun-2026 10:00 AM,NA ,NA ,30-May-2026 09:00 AM,04-Jun-2026 10:00 AM,08-Jun-2026 11:00 AM,Clearance of jhabarya drain below nahil from km 0.000 to 4.830 For year 2026-27,Clearance of jhabarya drain below nahil from km 0.000 to 4.830 For year 2026-27,Please refer Tender documents. ,NA ,"2,12,000",Civil Works - Others,Drain Clearance Work ,Tender,90.0,10.0,Shahjahanpur,242001.0,NA ,NA ,NA ,Office of the EE NWMP S.C. Div. Shahjahanpur,No ,No,589.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||NWMPD, shahjahanpur",NIT No. 01/EE/2026-27 dt.02.05.2026,2026_UPIDC_1146061_16,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6164445,M/S K.G.N. TRADERS,03-Jun-2026 12:18 PM,Rejected-Finance,L4,09-Jun-2026 06:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6166417,M/s LUCENT ENGINEERS,03-Jun-2026 11:48 PM,Rejected-Finance,L3,09-Jun-2026 06:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6166817,M/S MAMTA KASHYAP CONTRACTORS,04-Jun-2026 09:15 AM,Rejected-Finance,L2,09-Jun-2026 06:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6162932,M/S SATYA PRAKSH TIWARI,02-Jun-2026 06:38 PM,Accepted-AOC,1st Lowest,31-Jul-2026 09:33 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
