Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,2 bid Addmitted,PRAVEEN KUMAR SHARMA,18-May-2026 12:19 PM,technical_2141374.pdf,04-Jul-2026,"INR 3,154,644.97",90.0,PRAVEEN KUMAR SHARMA,04-Jul-2026 04:43 PM,16AOC.pdf (664.00 KB),L1,PM 12 Jhansi,Internal,Ravikant Accountant,PRAVEEN KUMAR SHARMA,27-May-2026 12:26 PM,27-May-2026 02:00 PM,techsummary_2141374.pdf (1030.25 KB),1,6103750,ONES ASSOCIATION,10-May-2026 11:32 PM,Rejected-AOC,l2,04-Jul-2026 04:43 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,2026_UPPRC_1144932_16,2/PM12/UPPCL/2026-27,"Construction of Community Marriage Hall in Gram Panchayat Brahmpura, Bamor Development Block.",Finance,2 bid Admitted,PRAVEEN KUMAR SHARMA,30-May-2026 03:45 PM,finance_2141374.pdf,BOQ Comparative Chart,Project Manager unit 12,Internal,Ravikant Accountant,PRAVEEN KUMAR SHARMA,22-Jun-2026 04:23 PM,finsummary_2141374.pdf (186.80 KB),1.0,6103918.0,RUDRAKSH ELECTRICAL AND CONSTRUCTION,INR,"3,154,644.97",AOC,"Construction of Community Marriage Hall in Gram Panchayat Brahmpura, Bamor Development Block.","Construction of Community Marriage Hall in Gram Panchayat Brahmpura, Bamor Development Block.",As per NIT ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Jhansi,284403.0,NA ,NA ,NA ,Jhansi,No ,No,05-May-2026 05:00 PM,11-May-2026 04:00 PM,05-May-2026 05:00 PM,11-May-2026 03:00 PM,05-May-2026 05:00 PM ,11-May-2026 03:00 PM ,05-May-2026 05:00 PM,11-May-2026 03:00 PM,27-May-2026 02:00 PM,"64,000",No,fixed,,Nil,Nil,Project Manager Unit 12,129 KK Puri Awas Vikas Jhansi,"5,900",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,NIT,1.0,SBI Bank,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-7 Lucknow||Unit-12 Orai,2/PM12/UPPCL/2026-27,2026_UPPRC_1144932_16,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,2,6103918,RUDRAKSH ELECTRICAL AND CONSTRUCTION,10-May-2026 11:21 PM,Accepted-AOC,L1,04-Jul-2026 04:43 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
