Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,2026_REDUP_1147416_46,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,SE RED CIRCLE BAREILLY,SE RED CIRCLE BAREILLY OFFICE,13-May-2026 04:00 PM,28-May-2026 04:00 PM,13-May-2026 04:00 PM,28-May-2026 12:00 PM,NA ,NA ,13-May-2026 04:00 PM,28-May-2026 12:00 PM,16-Jun-2026 12:30 PM,"94,000",No,fixed,,Nil,Nil,"2,354",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENT,Construction of interlocking paving from the village of Naya Gaon to Sahvegpur in Development Block Kalan.,Construction of interlocking paving from the village of Naya Gaon to Sahvegpur in Development Block Kalan.,Please refer Tender documents. ,NA ,"47,00,000",Civil Works - Roads,NA ,Tender,90.0,90.0,KALAN SHAHJAHANPUR,242127.0,SE RED CIRCLE BAREILLY OFFICE ,SE RED CIRCLE BAREILLY OFFICE ,14-May-2026 12:00 PM ,SE RED CIRCLE BAREILLY OFFICE,No ,No,1.0,SBI Bank,AOC,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILLYEEREDDIVISIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,07-Jul-2026 06:13 PM,finsummary_2148773.pdf (1589.68 KB),Finance,FINANCIAL BID OPEN,RAJESH KUMAR,07-Jul-2026 06:07 PM,finance_2148773.pdf,BOQ Comparative Chart,1.0,6148034.0,M/S JAI MAA ENTERPRISES,INR,"5,523,749",1,6148034,M/S JAI MAA ENTERPRISES,28-May-2026 10:09 AM,Accepted-AOC,DUE TO L1,27-Jul-2026 06:37 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,2026_REDUP_1147416_46,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,Construction of interlocking paving from the village of Naya Gaon to Sahvegpur in Development Block Kalan.,SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILLYEEREDDIVISIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,10-Jun-2026 03:02 PM,16-Jun-2026 12:30 PM,techsummary_2148773.pdf (646.14 KB),27-Jul-2026,"INR 5,523,749",90.0,RAJESH KUMAR,27-Jul-2026 06:37 PM,46sh.pdf (273.00 KB),AOC OF THE WORK - Construction of interlocking paving from the village of Naya Gaon to Sahvegpur in Development Block Kalan.,Technical,bid open,RAJESH KUMAR,10-Jun-2026 03:00 PM,technical_2148773.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENT,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,6147958,Rakesh Kumar Pathak,28-May-2026 09:43 AM,Rejected-Finance,DUE TO HIGHER RATE,07-Jul-2026 06:13 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
