Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,FFFFFFFFFFFF,Satish Chand Raghvendram,11-Jun-2026 01:03 PM,,21-Jul-2026,"INR 3,419,297",120.0,Satish Chand Raghvendram,21-Jul-2026 02:53 PM,jaitipurgarhiarangeen.pdf (101.00 KB),garhia rangeen,ee red,Internal,AE RED DAO RED,Satish Chand Raghvendram,11-Jun-2026 01:06 PM,16-Jun-2026 12:00 PM,techsummary_2149902.pdf (333.02 KB),1,6146799,SABIR HUSAIN,27-May-2026 08:13 PM,Rejected-Finance,atpar,21-Jul-2026 02:50 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE SHAHJAHANPUR,2026_REDUP_1148278_10,06 Date 02-04-2026 Twarit spn,garihia rangeen rampal singh,Finance,ggggggggggg,Satish Chand Raghvendram,21-Jul-2026 02:47 PM,,BOQ Comparative Chart,ee red,Internal,AE RED DAO RED SPN,Satish Chand Raghvendram,21-Jul-2026 02:50 PM,finsummary_2149902.pdf (101.26 KB),1.0,6146613.0,SINGH CONSTRUCTION COMPANY0,INR,"3,419,297",AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE||EE SHAHJAHANPUR,06 Date 02-04-2026 Twarit spn,2026_REDUP_1148278_10,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,nit,"58,000",No,fixed,,Nil,Nil,1.0,SBI Bank,15-May-2026 10:00 AM,30-May-2026 12:30 PM,15-May-2026 10:00 AM,29-May-2026 04:00 PM,NA ,NA ,15-May-2026 10:30 AM,29-May-2026 04:00 PM,16-Jun-2026 12:00 PM,executive Engineer,2nd floor vikas bhawan spn,garihia rangeen rampal singh,Interlocking work from Thakur Rampal Singh Market located on Kheda BajheraGadhiyarangin Road in Development Block Jaitpur via Panchayatghar connecting Shiv Mandir Yatri Vishram Grah to Gadhiya Rangin main road,Please refer Tender documents. ,NA ,"29,01,000",Civil Works - Roads,interlocking ,Rate Contract,90.0,120.0,shahjahanpur,242001.0,NA ,NA ,NA ,vikas bhawan shahjahanpur,No ,No,AOC
,,,,,,,,,,,,,,,,,,,2,6146613,SINGH CONSTRUCTION COMPANY0,27-May-2026 07:33 PM,Accepted-AOC,winner,21-Jul-2026 02:53 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
