Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
21-Jul-2026,"INR 14,369,703",180.0,Madan Singh,27-Jul-2026 05:21 PM,Order.pdf (986.00 KB),"Maintenance/Repair work of Jay Prakash Narayan Sarvodaya Vidyalaya, Bastaura, Rasra, in District Ballia.",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,2026_SCIDC_1160372_1,275/EE/Ballia/E-Tender/2026-27 dt. 12.06.2026,"Maintenance/Repair work of Jay Prakash Narayan Sarvodaya Vidyalaya, Bastaura, Rasra, in District Ballia.",1.0,6206415.0,M/S Arvind Kumar,INR,"14,369,703",1,6209063,AVADH KAARYA SOLUTIONS LLP,20-Jun-2026 01:41 PM,Rejected-Technical,Not Qualified in Technical Evaluation,09-Jul-2026 06:07 PM,Technical,Bid opening summary,Manoj Kumar-iv,09-Jul-2026 05:51 PM,technical_2174636.pdf,S.E.,Internal,"EE., AAO.,",Madan Singh,10-Jul-2026 03:41 PM,finsummary_2174636.pdf (430.06 KB),Finance,Financial,Manoj Kumar-iv,10-Jul-2026 03:29 PM,finance_2174636.pdf,BOQ Comparative Chart,S.E.,Internal,"E.E., AAO.,",Madan Singh,09-Jul-2026 06:07 PM,09-Jul-2026 06:10 PM,techsummary_2174636.pdf (501.56 KB),AOC,"Maintenance/Repair work of Jay Prakash Narayan Sarvodaya Vidyalaya, Bastaura, Rasra, in District Ballia.","Maintenance/Repair work of Jay Prakash Narayan Sarvodaya Vidyalaya, Bastaura, Rasra, in District Ballia.",Please refer tender Documents ,NA ,"1,44,71,000",Civil Works,NA ,Tender,90.0,NA ,Ballia,275101.0,NA ,NA ,NA ,Executive Engineer UPSCIDC Ltd Azamgarh,No ,No,1.0,Fee/PreQual/Technical,.pdf,Notice,"3,540",UPSCIDC LTD Ballia,UPSCIDC LTD Ballia,No,13-Jun-2026 06:00 PM,20-Jun-2026 02:30 PM,13-Jun-2026 06:00 PM,20-Jun-2026 02:00 PM,NA ,NA ,13-Jun-2026 06:00 PM,20-Jun-2026 02:00 PM,09-Jul-2026 06:10 PM,Executive Engineer UPSCIDC Ltd Azamgarh,Maa Shanti Niwas Opp. Dr. Javed Aarajibagh Azamgarh 276001,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Azamgarh,275/EE/Ballia/E-Tender/2026-27 dt. 12.06.2026,2026_SCIDC_1160372_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"2,89,000",No,fixed,,UPSCIDC LTD Ballia,UPSCIDC LTD Ballia,1.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,2,6207373,Baba Shantanand Construction,19-Jun-2026 04:40 PM,Rejected-Technical,Not Qualified in Technical Evaluation,09-Jul-2026 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,AOC
,,,,,,,,,,,,,,,,3,6207246,KHUSHI CONSTRUCTION,19-Jun-2026 03:59 PM,Rejected-Technical,Not Qualified in Technical Evaluation,09-Jul-2026 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6206415,M/S Arvind Kumar,19-Jun-2026 11:59 AM,Accepted-AOC,Below Rate,27-Jul-2026 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6208741,M/S MALTI DEVI CONSTRUCTIONS,20-Jun-2026 01:28 PM,Rejected-Technical,Not Qualified in Technical Evaluation,09-Jul-2026 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,6208543,M/S NISTHA ENTERPRISES,20-Jun-2026 11:53 AM,Rejected-Technical,Not Qualified in Technical Evaluation,09-Jul-2026 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,6206352,M/S U K Engineers,19-Jun-2026 05:21 PM,Rejected-Finance,High Rate,10-Jul-2026 03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
