Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Gorakhpur Industrial Development Authority,490/GIDA/2026-27 DT. 24.04.2026,2026_UGIDA_1147038_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction work of C C Road From Tola Bharpurwa to Tekuapati of Gram Panchayat Bhiti Rawat GIDA Gorakhpur,Construction work of C C Road From Tola Bharpurwa to Tekuapati of Gram Panchayat Bhiti Rawat GIDA Gorakhpur,Please refer Tender documents. ,NA ,"25,45,898",Civil Works,NA ,Tender,90.0,180.0,GIDA GORAKHPUR,273212.0,NA ,NA ,NA ,O/O CEO GIDA SECTOR 7 GIDA GORAKHPUR,No ,No,"2,55,000",No,fixed,,Nil,Nil,CEO GIDA,GIDA SECTOR 7 GIDA GORAKHPUR,"1,770",Nil,Nil,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,11-May-2026 11:00 AM,19-May-2026 04:00 PM,11-May-2026 11:00 AM,19-May-2026 03:00 PM,NA ,NA ,11-May-2026 11:00 AM,19-May-2026 03:00 PM,11-Jun-2026 06:25 PM,AOC,CEO GIDA,Internal,M(C)GM(F)ACEO,vivek kumar verma,08-Jul-2026 07:52 PM,finsummary_2145318.pdf (469.78 KB),Technical,BID OPENED,VIBHOR TYAGI,19-May-2026 05:13 PM,,CEO GIDA,Internal,M(C)GM(F)ACEO,vivek kumar verma,11-Jun-2026 06:21 PM,11-Jun-2026 06:25 PM,techsummary_2145318.pdf (428.32 KB),Finance,BID OPENED,VIBHOR TYAGI,11-Jun-2026 06:55 PM,,BOQ Comparative Chart,1,6115707,ANAND CONSTRUCTION,17-May-2026 05:51 PM,Rejected-Finance,L2,08-Jul-2026 07:52 PM,1.0,6119975.0,M/S HANUMAN SINGH,INR,"2,487,088.05",Gorakhpur Industrial Development Authority,2026_UGIDA_1147038_1,490/GIDA/2026-27 DT. 24.04.2026,Construction work of C C Road From Tola Bharpurwa to Tekuapati of Gram Panchayat Bhiti Rawat GIDA Gorakhpur,08-Jul-2026,"INR 2,487,088.05",180.0,vivek kumar verma,08-Jul-2026 07:54 PM,490.pdf (470.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,T1,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6121591,Kaushik Associates,18-May-2026 07:09 PM,Rejected-Finance,L3,08-Jul-2026 07:52 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6119975,M/S HANUMAN SINGH,18-May-2026 10:24 AM,Accepted-AOC,L1,08-Jul-2026 07:54 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,6125299,M/S SIDDHARTH CONSTRUCTION,19-May-2026 01:47 PM,Rejected-Technical,NOT RESPONSIVE,11-Jun-2026 06:21 PM,,,,,,,,,,,,,,,,AOC
