S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage
1.0,6262319.0,Syed Construction,INR,"538,442.64",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1169922_1,424-3/E.E. BLY/E-Tender/BLY/2026-27 Dt. 16.07.2026,"Construction of C.C. Road and Drain Work at Vill. Richa in Halim House to Akil House, bya Ekram House (Vidhayak Nidhi)",1,6262220,M/S MAHAVEER CONSTRUCTION AND GENERAL ORDER SUPPLIERS,19-Jul-2026 06:22 PM,Rejected-AOC,IInd Lowest Rate,27-Jul-2026 04:59 PM,24-Jul-2026,"INR 538,442.64",60.0,Vinod Kumar Kardam,27-Jul-2026 04:59 PM,LOI3.pdf (132.00 KB),Total Contract Value Rs. 538442.64,Vinod Kumar Kardam,Internal,"Vinod Kumar Kardam, Bhaskar Mishra",Vinod Kumar Kardam,24-Jul-2026 03:59 PM,finsummary_2195197.pdf (119.27 KB),Technical,Technical Bid Opening Summary,Vinod Kumar Kardam,24-Jul-2026 01:59 PM,technical_2195197.pdf,Vinod Kumar Kardam,Internal,"Vinod Kumar Kardam, Bhaskar Mishra",Vinod Kumar Kardam,24-Jul-2026 02:06 PM,24-Jul-2026 02:15 PM,techsummary_2195197.pdf (285.66 KB),Finance,Financial Bid Opening Summary,Vinod Kumar Kardam,24-Jul-2026 03:50 PM,finance_2195197.pdf,BOQ Comparative Chart,AOC,"10,800",No,fixed,,EE UPSCIDCO,BAREILLY,"Construction of C.C. Road and Drain Work at Vill. Richa in Halim House to Akil House, bya Ekram House (Vidhayak Nidhi)","Construction of C.C. Road and Drain Work at Vill. Richa in Halim House to Akil House, bya Ekram House (Vidhayak Nidhi)","Construction of C.C. Road and Drain Work at Vill. Richa in Halim House to Akil House, bya Ekram House (Vidhayak Nidhi) ",NA ,"5,38,712",Civil Works - Roads,Const. of C.C. Road and Drain Work at Vill. Richa ,Tender,90.0,60.0,Bareilly,243001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,16-Jul-2026 12:05 PM,23-Jul-2026 02:00 PM,16-Jul-2026 12:05 PM,23-Jul-2026 01:00 PM,NA ,NA ,16-Jul-2026 12:05 PM,23-Jul-2026 01:00 PM,24-Jul-2026 02:15 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,424-3/E.E. BLY/E-Tender/BLY/2026-27 Dt. 16.07.2026,2026_SCIDC_1169922_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly",1,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee EMD and BOQ","1,062",EE UPSCIDCO,BAREILLY,No,1.0,RTGS - RTGS Payment,AOC
,,,,,,,,,2,6262319,Syed Construction,22-Jul-2026 08:18 AM,Accepted-AOC,Ist Lowest Rate,27-Jul-2026 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,AOC
