Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
18-Aug-2025,"INR 3,226,154.75",120.0,BHARAM PAL SINGH,29-Sep-2025 11:09 AM,kp28.pdf (905.00 KB),AOC,Technical,EVALUATION,NITENDRA KUMAR ADARSH,17-Jul-2025 10:42 AM,,Committee,Internal,Committee,NITENDRA KUMAR ADARSH,18-Jul-2025 10:48 AM,18-Jul-2025 11:00 AM,techsummary_1864354.pdf (1178.09 KB),Finance,UNDER EVALUATION,VIKAS KUMAR,18-Aug-2025 06:06 PM,,BOQ Comparative Chart,Committee,Internal,Committee,VIKAS KUMAR,18-Aug-2025 06:10 PM,finsummary_1864354.pdf (11357.18 KB),1.0,5157054.0,KP CONST. CO.,INR,"3,226,154.75",Yamuna Expressway Industrial Development Authority,2025_YEIDA_1028281_28,YEA/GM(PROJECT)/2025/1044 DT-09/04/2025,"Maintenance of panchayat ghar for E-Library in village Parohi and Dyorar,YEA WC-06",1,5157054,KP CONST. CO.,13-May-2025 01:19 PM,Accepted-AOC,L1,29-Sep-2025 11:09 AM,AOC,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/1044 DT-09/04/2025,2025_YEIDA_1028281_28,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Date,Date,,995.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",21-Apr-2025 06:55 PM,15-May-2025 11:00 AM,21-Apr-2025 06:55 PM,13-May-2025 05:00 PM,NA ,NA ,21-Apr-2025 06:55 PM,13-May-2025 05:00 PM,18-Jul-2025 11:00 AM,"80,900",No,fixed,,Nil,Nil,1.0,SBI Bank,"Maintenance of panchayat ghar for E-Library in village Parohi and Dyorar,YEA WC-06","Maintenance of panchayat ghar for E-Library in village Parohi and Dyorar,YEA WC-06",Please refer Tender documents. ,NA ,"40,42,800",Civil Works,NA ,Tender,90.0,120.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA 2nd FLOOR TENDER CELL,No ,No,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5171218,M/S HARIOM SINGH,07-May-2025 01:38 PM,Rejected-Finance,L4,18-Aug-2025 06:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5185332,M/S S M CONSTRUCTION,13-May-2025 02:25 PM,Rejected-Finance,L3,18-Aug-2025 06:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5174615,SHRI HARI BUILDERS,12-May-2025 12:29 PM,Rejected-Technical,DISQUALIFIED,18-Jul-2025 10:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5174983,SHUBHAM BUILDERS,13-May-2025 04:32 PM,Rejected-Finance,L2,18-Aug-2025 06:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
