Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"1,947",EE UPRNSS,BIJNORE,No,1,FDR - Fixed Deposit,"Rakesh Kumar Chaurasia, SE","Office of SE, 41 Basant Vihar, Kila Road, Meerut","1,96,200",No,fixed,,EE UPRNSS,BIJNORE,PROPOSED CONSTRUCTION BALANCE WORK OF GOVT. ITI BUILDING AT KESHOPUR AMROHA DISTT.- AMROHA (U.P.),PROPOSED CONSTRUCTION BALANCE WORK OF GOVT. ITI BUILDING AT KESHOPUR AMROHA DISTT.- AMROHA (U.P.),Please refer Tender documents. ,NA ,"98,08,614",Civil Works - Buildings,NA ,Tender,90.0,244.0,"KESHOPUR, AMROHA",244221.0,NA ,NA ,NA ,MEERUT,No ,No,22-Feb-2025 05:00 PM,07-Mar-2025 12:00 PM,22-Feb-2025 05:00 PM,07-Mar-2025 12:00 PM,NA ,NA ,22-Feb-2025 05:00 PM,07-Mar-2025 12:00 PM,12-Mar-2025 02:20 PM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,45/E-TENDER/MEERUT-ZONE/24-25 DATED 18-02-2025,2025_UPRNS_1010115_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical,AOC,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Yogendra Bahadur Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,12-Mar-2025 02:09 PM,12-Mar-2025 02:20 PM,techsummary_1811962.pdf (638.04 KB),Finance,Financial Opened by Tender Committee,Rakesh Kumar Chaurasia,15-Mar-2025 02:46 PM,finance_1811962.pdf,BOQ Comparative Chart,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Yogendra Bahadur Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,15-Mar-2025 02:49 PM,finsummary_1811962.pdf (435.40 KB),Technical,Technical Opened by Tender Committee,Rakesh Kumar Chaurasia,12-Mar-2025 02:07 PM,technical_1811962.pdf,1.0,5018980.0,M/S JAI ENTERPRISES,INR,"9,784,092.08",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1010115_1,45/E-TENDER/MEERUT-ZONE/24-25 DATED 18-02-2025,PROPOSED CONSTRUCTION BALANCE WORK OF GOVT. ITI BUILDING AT KESHOPUR AMROHA DISTT.- AMROHA (U.P.),1,5019015,Malik Construction Co,06-Mar-2025 01:23 PM,Rejected-Finance,Quoted Rates Are Higher,15-Mar-2025 02:49 PM,17-Mar-2025,"INR 9,784,092.08",244.0,Rakesh Kumar Chaurasia,24-Sep-2025 06:25 PM,WorkorderITIRenoKeshopurBijnorOfficeCopySigned.pdf (1151.00 KB),Tender Awarded,AOC
,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5018980,M/S JAI ENTERPRISES,05-Mar-2025 09:57 PM,Accepted-AOC,L-1,24-Sep-2025 06:26 PM,,,,,,,,AOC
