Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
01-Mar-2025,"INR 1,252,800",180.0,Vijay Kumar Verma,17-Sep-2025 04:52 PM,DocScannerSepL4.pdf (574.00 KB),Drilling Of Tubewell 1.00 Cusec under 09 STW Project in Bahraich and Shrawasti District,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Faizabad||Executive Engineer(TCD) Faizabad,2025_UPIDM_1004299_1,16/Lot No-4/EE/TCD.AYO/2024-25,Drilling Of Tubewell 1.00 Cusec under 09 STW Project in Bahraich and Shrawasti District,1.0,4942318.0,M/S BALA JI ENTERPRISES,INR,"1,252,800",1,4947184,laxmi enterprises,19-Feb-2025 04:54 PM,Rejected-Finance,Fifth Lowest.,21-Feb-2025 02:06 PM,Technical,All Bidder Qualified in Technical Bid.,Vijay Kumar Verma,20-Feb-2025 06:49 PM,technical_1795667.pdf,Vijay Kumar Verma,Internal,"Gyanendra Mani Tripathi, Prabhat Ranjan Shrivastava",Vijay Kumar Verma,21-Feb-2025 02:06 PM,finsummary_1795667.pdf (698.56 KB),Finance,"M/S- Bala ji Enterprises, Bahraich is Lowest Bidder, M/s-Sai Enterprises, Bareilly is Second Lowest Bidder, M/S- S.P.V. Engineers, Lucknow is Third Lowest Bidder, M/s-Kanak Bihari Enterprises, Ayodhya is Fourth Lowest Bidder and M/s-Laxmi Enterprises, L",Vijay Kumar Verma,21-Feb-2025 12:29 PM,finance_1795667.pdf,BOQ Comparative Chart,Vijay Kumar Verma,Internal,"Gyanendra mani Tripathi, Executive Engineer L.I.D Ayodhya and Prabhat Ranjan Srivastava Accountant Executive Engineer T.W.C.D Ayodhya",Vijay Kumar Verma,20-Feb-2025 07:04 PM,21-Feb-2025 10:30 AM,techsummary_1795667.pdf (698.56 KB),AOC,1.0,SBI Bank,Executive Engineer,Executive Engineer Tubewell Construction Division Ayodhya Bada Ramna World bank Colony Ayodhya,Drilling Of Tubewell 1.00 Cusec under 09 STW Project in Bahraich and Shrawasti District,Drilling Of Tubewell 1.00 Cusec under 09 STW Project in Bahraich and Shrawasti District,Please refer Tender documents. ,NA ,"18,25,000",Water Equipments/ Meter/ Drilling/ Boring,NA ,Tender,180.0,180.0,Bahraich and Shrawasti,271801.0,NA ,NA ,NA ,Office of Ex.Eng. T.W. Const. Division Ayodhya,No ,No,1.0,Fee/PreQual/Technical,.pdf,Drilling Of Tubewell 1.00 Cusec under 09 STW Project in Bahraich and Shrawasti District,1.0,Corrigendum of TenderNo-16/Lot No-4/EE/TWCD.AYO/2024-25,Date,,10-Feb-2025 09:00 AM,20-Feb-2025 12:30 PM,10-Feb-2025 09:00 AM,20-Feb-2025 11:30 AM,NA ,NA ,10-Feb-2025 10:00 AM,20-Feb-2025 11:30 AM,21-Feb-2025 10:30 AM,854.0,Executive Engineer Tubewell Construction Division,Ayodhya,No,"37,000",No,fixed,,Executive Engineer Tubewell Construction Division,Ayodhya,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Faizabad||Executive Engineer(TCD) Faizabad,16/Lot No-4/EE/TCD.AYO/2024-25,2025_UPIDM_1004299_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,2,4942318,M/S BALA JI ENTERPRISES,17-Feb-2025 11:16 AM,Accepted-AOC,Lowest Bidder,17-Sep-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Drilling Of Tubewell 1.00 Cusec under 09 STW Project in Bahraich and Shrawasti District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,4979690,M/S KANAK BIHARI ENTERPRISES,20-Feb-2025 10:58 AM,Rejected-Finance,Fourth Lowest.,21-Feb-2025 02:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,4942067,SAI ENTERPRISES,17-Feb-2025 08:23 AM,Rejected-Finance,Second Lowest.,21-Feb-2025 02:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,4974005,S P V ENGINEERS,20-Feb-2025 10:19 AM,Rejected-Finance,Third Lowest.,21-Feb-2025 02:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
