Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,15/EE/MLCD/LKO/ETender/2025-26,2025_UPIDM_1064231_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"1st class brick lining workand repairing of delivery tank at Rudauli pump canal in district Ayodhya including all cost of material, labour and Tool and plant etc. used complete in all respect as per drawing and BOQ.","1st class brick lining workand repairing of delivery tank at Rudauli pump canal in district Ayodhya including all cost of material, labour and Tool and plant etc. used complete in all respect as per drawing and BOQ.",Please refer Tender documents. ,NA ,"27,25,000",Civil Works - Canal,NA ,Tender,90.0,NA ,Rudauli Pump canal in district Ayodhya,224117.0,NA ,NA ,NA ,"Office of Executive Engineer, Minor Lift Canal Div",No ,No,08-Aug-2025 04:00 PM,19-Aug-2025 03:00 PM,08-Aug-2025 04:00 PM,19-Aug-2025 11:00 AM,NA ,NA ,08-Aug-2025 04:00 PM,19-Aug-2025 11:00 AM,22-Aug-2025 03:25 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,"2,354",Nil,Nil,No,"Mr. Ashutosh kumar Singh, Executive Engineer","Office Of Executive Engineer, Minor Lift Canal Division, 3/435-A, Vishwash khand Gomti Nagar, Lucknow, U.P -226010","54,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,AOC,Ashutosh Kumar Singh EE,Internal,"Mr. Gaurav Singh, Executive Engineer",Ashutosh Kumar Singh,28-Aug-2025 04:50 PM,finsummary_1939390.pdf (2924.43 KB),Technical,Technical Evaluation Sheet,Ashutosh Kumar Singh,22-Aug-2025 03:09 PM,technical_1939390.pdf,Ashutosh Kumar Singh EE,Internal,"Mr.Gaurav Singh,Executive Engineer",Ashutosh Kumar Singh,22-Aug-2025 03:21 PM,22-Aug-2025 03:25 PM,techsummary_1939390.pdf (2924.43 KB),Finance,Financial Evaluation Sheet,Ashutosh Kumar Singh,28-Aug-2025 08:20 AM,finance_1939390.pdf,BOQ Comparative Chart,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2025_UPIDM_1064231_1,15/EE/MLCD/LKO/ETender/2025-26,"1st class brick lining workand repairing of delivery tank at Rudauli pump canal in district Ayodhya including all cost of material, labour and Tool and plant etc. used complete in all respect as per drawing and BOQ.",1.0,5454284.0,MAHI CONSTRUCTION,INR,"2,139,305",1,5425687,Krishna construction,18-Aug-2025 09:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Aug-2025 03:09 PM,22-Sep-2025,"INR 2,724,909",90.0,Ashutosh Kumar Singh,23-Sep-2025 08:47 PM,15.pdf (2743.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and Labour Registration",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5454284,MAHI CONSTRUCTION,18-Aug-2025 11:52 PM,Accepted-AOC,Lowest Bid,23-Sep-2025 08:47 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,.pdf,Firm Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5449747,MANJULA MISHRA,18-Aug-2025 06:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Aug-2025 03:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,.pdf,Character (IDT-1) and Insolvency (IDT-2),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5452202,M/S NARAYAN PRASAD GUPTA,18-Aug-2025 08:35 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Aug-2025 03:09 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,.pdf,Bid Validity and Self Decleration Affidavit (IDT-3),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5452014,M/S NARESH KUMAR SONKAR & CO,18-Aug-2025 07:27 PM,Rejected-Finance,Higher Bid,28-Aug-2025 04:50 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,.pdf,Experience Certificate,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5450250,M/S Sushila Enterprises,19-Aug-2025 12:59 AM,Rejected-Finance,Higher Bid,28-Aug-2025 04:50 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5456704,RAM PRATAP DIXIT,19-Aug-2025 08:48 AM,Rejected-Finance,Higher Bid,28-Aug-2025 04:50 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5427394,SHRI PAL,13-Aug-2025 05:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Aug-2025 03:09 PM,,,,,,,AOC
