Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"U P Jal Nigam (HQ), Lucknow||Chief Engineer (Allahabad)||SE, Yantrik Circle, Allahabad||PM, Ganga Pollution Control Unit (II) E-M, Alld",2025_UPJNM_1074621_1,612 / Nivida / 46 dated 08-09-2025,"Operation of Electrical and Mechanical equipment including removal and disposal of chocking materials garbage etc. at 09 MLD Allahpur sewage pumping station, Prayagraj",1.0,5552025.0,SHABNAM ENTERPRISES,INR,"545,170",1,5548423,chaudhary engineering works,20-Sep-2025 04:03 PM,Rejected-AOC,L3,30-Sep-2025 07:10 PM,01-Oct-2025,"INR 559,149",90.0,SAURABH KUMAR,30-Sep-2025 07:10 PM,orderAllahpur.pdf (322.00 KB),AOC,Executive Engineer,Internal,"Assistant Engineer (Civil), Assistant Engineer (E/M), Computer and Accountant",SAURABH KUMAR,25-Sep-2025 01:13 PM,26-Sep-2025 03:15 PM,techsummary_1962345.pdf (271.58 KB),Finance,Three bid admitted for Financial bid opening of tender,SAURABH KUMAR,26-Sep-2025 03:36 PM,,BOQ Comparative Chart,Executive Engineer,Internal,"Assistant Engineer(Civil), Assistant Engineer (E/M), Accountant and computer",SAURABH KUMAR,30-Sep-2025 06:42 PM,finsummary_1962345.pdf (205.12 KB),Technical,Three bid admitted for Technical bid opening of tender,SAURABH KUMAR,22-Sep-2025 04:32 PM,,AOC,"1,180",Executive Engineer CD(E/M) UP Jal Nigam (Urban),Prayagraj,No,"Executive Engineer,","Office of Executive Engineer, Construction Division (E/M), U.P. Jal Nigam (Urban), Prayagraj.",17-Sep-2025 01:15 PM,22-Sep-2025 04:15 PM,17-Sep-2025 01:15 PM,22-Sep-2025 03:00 PM,17-Sep-2025 01:15 PM ,22-Sep-2025 02:00 PM ,17-Sep-2025 01:15 PM,22-Sep-2025 03:00 PM,26-Sep-2025 03:15 PM,1.0,Fee/PreQual/Technical,.pdf,Technical Document,"Operation of Electrical and Mechanical equipment including removal and disposal of chocking materials garbage etc. at 09 MLD Allahpur sewage pumping station, Prayagraj","Operation of Electrical and Mechanical equipment including removal and disposal of chocking materials garbage etc. at 09 MLD Allahpur sewage pumping station, Prayagraj",N.A. ,NA. ,,Miscellaneous Services,NA ,Tender,120.0,90.0,Allahpur Prayagraj,211007.0,NA ,NA ,NA ,"Office of Executive Engineer, CD(E/M) UPJN(U)Prag.",No ,No,1,BG - Bank Guarantee,"U P Jal Nigam (HQ), Lucknow||Chief Engineer (Allahabad)||SE, Yantrik Circle, Allahabad||PM, Ganga Pollution Control Unit (II) E-M, Alld",612 / Nivida / 46 dated 08-09-2025,2025_UPJNM_1074621_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Offline,No,No,No,"11,190",No,fixed,,Executive Engineer CD(E/M) UP Jal Nigam (Urban),Prayagraj,AOC
,,,,,,,,,2,5552025,SHABNAM ENTERPRISES,22-Sep-2025 01:22 PM,Accepted-AOC,L1,30-Sep-2025 07:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5552214,SHIFA ENTERPRISES,22-Sep-2025 02:06 PM,Rejected-AOC,L2,30-Sep-2025 07:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,AOC
