EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"46,360",Yes,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Tender doc,Gram sabha ratanpur me basani karampur pich road se ratanpur marg tak sadak nav nirman ka karya.,Gram sabha ratanpur me basani karampur pich road se ratanpur marg tak sadak nav nirman ka karya.,Please refer Tender documents. ,NA ,"23,18,000",Civil Works,NA ,Tender,90.0,90.0,Vikash Bhavan Varanasi,221002.0,NA ,NA ,NA ,Vikash Bhavan Varanasi,No ,No,09-Jun-2025 12:00 PM,09-Jul-2025 12:30 PM,09-Jun-2025 12:00 PM,09-Jul-2025 12:00 PM,NA ,NA ,09-Jun-2025 12:00 PM,09-Jul-2025 12:00 PM,11-Jul-2025 12:00 PM,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,243 Date 26-04-2025,2025_REDUP_1046714_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,EE RED,Vikash Bhavan Varanasi,AOC,1.0,5294077.0,M/s Akhilesh Associate,INR,"2,307,794.28",Finance,Admitted,Pankaj Rai,11-Jul-2025 02:01 PM,,BOQ Comparative Chart,EE,Internal,,SHAILENDRA PRASAD,12-Aug-2025 03:58 PM,finsummary_1901247.pdf (109.69 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2025_REDUP_1046714_12,243 Date 26-04-2025,Gram sabha ratanpur me basani karampur pich road se ratanpur marg tak sadak nav nirman ka karya.,1,5294018,Durgawati Construction Co,09-Jul-2025 10:15 AM,Rejected-Finance,L2,12-Aug-2025 03:58 PM,EE,Internal,,SHAILENDRA PRASAD,10-Jul-2025 05:12 PM,11-Jul-2025 12:00 PM,techsummary_1901247.pdf (451.30 KB),11-Sep-2025,"INR 2,307,794.28",90.0,SHAILENDRA PRASAD,11-Sep-2025 04:02 PM,1218.pdf (643.00 KB),Technical,Admitted,SHAILENDRA PRASAD,10-Jul-2025 03:43 PM,,AOC
,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5294077,M/s Akhilesh Associate,08-Jul-2025 06:47 PM,Accepted-AOC,L1,11-Sep-2025 04:02 PM,,,,,,,,,,,,,,,,,,,AOC
