Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
05-Aug-2025,"INR 13,900,658.15",365.0,VIVEK PANDEY,16-Sep-2026 11:32 AM,cbltr.pdf (359.00 KB),Contract awarded to Ist lowest bidder M/s Adore Engineers & Traders with 25.77 percent below C.B. No. 03/SE/2025-26 dt. 05.08.2025,"U P Jal Nigam (HQ), Lucknow||Chief Engineer (Faizabad)||SE, CC, Faizabad||PM Urban Works Unit Faizabad",2025_UPJNM_1038513_1,1045/W-21/51,Water Supply Scheme for Engineering Campus of Dr. Ram Manohar Lohia Awadh University Ayodhya,1.0,5239538.0,M/s ADORE ENGINEERS AND TRADERS,INR,"13,900,658.15",1,5252620,J.N CONSTRUCTION,16-Jun-2025 02:24 PM,Rejected-Finance,Not found lowest,21-Jul-2025 01:05 PM,Finance,Financial bid opened on dt. 17-07-2025. M/s ADORE ENGINEERS AND TRADERS found L1 bidder.,VIVEK PANDEY,17-Jul-2025 05:28 PM,,BOQ Comparative Chart,SE AYODHYA,Internal,EECIVILAYODHYAEEEANDMAYODHYAAECIVILAYODHYAACAYODHYA,VIVEK PANDEY,16-Jul-2026 11:32 AM,17-Jul-2025 05:00 PM,techsummary_1882761.pdf (601.39 KB),Technical,Technical bid open on dt. 16-06-2025. 12 bids found and 11 bids admitted.,VIVEK PANDEY,17-Jun-2025 01:45 PM,,SE AYODHYA,Internal,SEEANDMAEAC,Santosh Kumar Singh,21-Jul-2025 01:05 AM,finsummary_1882761.pdf (613.40 KB),AOC,"U P Jal Nigam (HQ), Lucknow||Chief Engineer (Faizabad)||SE, CC, Faizabad||PM Urban Works Unit Faizabad",1045/W-21/51,2025_UPJNM_1038513_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"3,75,000",No,fixed,,Executive Engineer CD UPJN (Urban) Ayodhya,Executive Engineer CD UPJN (Urban) Ayodhya,1.0,Corrigendum 1,Date,,"S.E. CONSTRUCTION CIRCLE, U.P. JAL NIGAM AYODHYA","S.E. CONSTRUCTION CIRCLE, U.P. JAL NIGAM AYODHYA","11,800",Executive Engineer CD UPJN (Urban) Ayodhya,Executive Engineer CD UPJN (Urban) Ayodhya,No,13-May-2025 09:00 AM,16-Jun-2025 04:30 PM,13-May-2025 09:00 AM,16-Jun-2025 04:00 PM,13-May-2025 09:00 AM ,21-May-2025 09:00 AM ,13-May-2025 09:00 AM,16-Jun-2025 04:00 PM,17-Jul-2025 05:00 PM,1.0,Fee/PreQual/Technical,.pdf,Tender Document,Water Supply Scheme for Engineering Campus of Dr. Ram Manohar Lohia Awadh University Ayodhya,Water Supply Scheme for Engineering Campus of Dr. Ram Manohar Lohia Awadh University Ayodhya,Please refer Tender documents. ,NA ,"1,87,26,469",Civil Works - Water Works,NA ,Tender,120.0,365.0,"S.E. CONSTRUCTION CIRCLE, U.P. JAL NIGAM AYODHYA",224001.0,"S.E. CONSTRUCTION CIRCLE, U.P. JAL NIGAM AYODHYA ","S.E. CONSTRUCTION CIRCLE, U.P. JAL NIGAM AYODHYA ",19-May-2025 03:00 PM ,"S.E. CONSTRUCTION CIRCLE, U.P. JAL NIGAM AYODHYA",No ,No,AOC
,,,,,,,,,,,,,,,,2,5239538,M/s ADORE ENGINEERS AND TRADERS,16-Jun-2025 01:44 PM,Accepted-AOC,Ist lowest bidder,16-Sep-2025 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5239068,M/S MAA VAISHNO CONSTRACTION COMPANY,06-Jun-2025 06:18 PM,Not Admitted-Fee/PreQual/Technical,Others-EMD not received,17-Jun-2025 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5252644,M/S SHREE HARIOM SHARMA CONSTRUCTION,16-Jun-2025 02:10 PM,Rejected-Finance,Not found lowest,21-Jul-2025 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,4.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5239131,M/s S.K. Enterprises,06-Jun-2025 07:13 PM,Rejected-Finance,Not found lowest,21-Jul-2025 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5251898,M/S STERLING ENTERPRISES,16-Jun-2025 02:10 PM,Rejected-Finance,Not found lowest,21-Jul-2025 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5249680,RAMESH SINGH CONSTRUCTIONS,16-Jun-2025 11:50 AM,Rejected-Finance,Not found lowest,21-Jul-2025 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5239464,ratan kumar,16-Jun-2025 02:52 PM,Rejected-Finance,Not found lowest,21-Jul-2025 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5251687,SHIVA ASSOCIATES,16-Jun-2025 07:45 AM,Rejected-Finance,Not found lowest,21-Jul-2025 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5250995,Shri Mataji BuildCon,16-Jun-2025 02:36 PM,Rejected-Finance,Not found lowest,21-Jul-2025 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
