Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2025_REDUP_1050214_1,708 Date 11-06-2025,Phulwariya Kotawa Marg per Sthit Prince Janaral Store se Dr. Jagdeesh Prasad Sharma ke gfhar tak Sadak awam Jal Nikasi ka karya.,1.0,5289256.0,M/S KRISHNA ENTERPRISES,INR,"1,158,142.5",1,5289256,M/S KRISHNA ENTERPRISES,04-Jul-2025 01:25 PM,Accepted-AOC,L1,19-Sep-2025 05:27 PM,19-Sep-2025,"INR 1,158,142.5",90.0,SHAILENDRA PRASAD,19-Sep-2025 05:27 PM,1101.pdf (851.00 KB),EE,Internal,,SHAILENDRA PRASAD,09-Jul-2025 05:49 PM,finsummary_1908628.pdf (110.23 KB),Technical,Admitted,Pankaj Rai,05-Jul-2025 01:12 PM,,EE,Internal,,SHAILENDRA PRASAD,07-Jul-2025 11:46 AM,07-Jul-2025 02:00 PM,techsummary_1908628.pdf (524.33 KB),Finance,Admitted,Pankaj Rai,07-Jul-2025 04:59 PM,,BOQ Comparative Chart,AOC,20-Jun-2025 12:00 PM,05-Jul-2025 12:30 PM,20-Jun-2025 12:00 PM,05-Jul-2025 12:00 PM,NA ,NA ,20-Jun-2025 12:00 PM,05-Jul-2025 12:00 PM,07-Jul-2025 02:00 PM,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,708 Date 11-06-2025,2025_REDUP_1050214_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"24,620",Yes,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Tender doc,766.0,Nil,Nil,No,EE RED,Vikash Bhavan Varanasi,Phulwariya Kotawa Marg per Sthit Prince Janaral Store se Dr. Jagdeesh Prasad Sharma ke gfhar tak Sadak awam Jal Nikasi ka karya.,Phulwariya Kotawa Marg per Sthit Prince Janaral Store se Dr. Jagdeesh Prasad Sharma ke gfhar tak Sadak awam Jal Nikasi ka karya.,Please refer Tender documents. ,NA ,"12,31,000",Civil Works,NA ,Tender,90.0,90.0,Vikash Bhavan Varanasi,221002.0,NA ,NA ,NA ,Vikash Bhavan Varanasi,No ,No,AOC
,,,,,,,,,2,5287455,SHIV CONSTRUCTION,03-Jul-2025 01:16 PM,Rejected-Finance,L2,09-Jul-2025 05:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,AOC
