S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1,5522208,M/S VK CONSTRUCTION CO.,08-Sep-2025 09:15 PM,Rejected-Finance,not ok,12-Sep-2025 03:35 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2025_SCIDC_1067039_2,541/E E/Ayo/E Tender/MLC Ambedkarnagar/25-26 20.08.2025,Under MLCFund Scheme Construction of M.S. Gate at Block Katehri meAkbarpur Iltifatganj Marg par Dandi Chaurha Par Purv mantri Late Ravindranath Tiwari Smriti M.S. Gate Work.,1.0,5522212.0,R. D. CONSTRUCTION COMPANY,INR,"901,000",12-Sep-2025,"INR 901,000",90.0,Jagpal Verma,12-Sep-2025 05:29 PM,LOI.pdf (484.00 KB),Under MLCFund Scheme Construction of M.S. Gate at Block Katehri meAkbarpur Iltifatganj Marg par Dandi Chaurha Par Purv mantri Late Ravindranath Tiwari Smriti M.S. Gate Work.,EE,Internal,A E Astt Actt,Jagpal Verma,11-Sep-2025 05:14 PM,11-Sep-2025 05:20 PM,techsummary_1954816.pdf (367.09 KB),Finance,Financial Bid opening summary,Jagpal Verma,12-Sep-2025 03:33 PM,finance_1954816.pdf,BOQ Comparative Chart,EE,Internal,A E Astt Actt,Jagpal Verma,12-Sep-2025 03:35 PM,finsummary_1954816.pdf (493.20 KB),Technical,Technical Bid opening summary,Jagpal Verma,11-Sep-2025 05:13 PM,technical_1954816.pdf,AOC,1,FDR - Fixed Deposit,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,"20,000",No,fixed,,E E U P Scidco,Ayodhya,04-Sep-2025 12:20 PM,09-Sep-2025 12:20 PM,04-Sep-2025 12:20 PM,09-Sep-2025 12:20 PM,NA ,NA ,04-Sep-2025 12:20 PM,09-Sep-2025 12:20 PM,11-Sep-2025 05:20 PM,Under MLCFund Scheme Construction of M.S. Gate at Block Katehri meAkbarpur Iltifatganj Marg par Dandi Chaurha Par Purv mantri Late Ravindranath Tiwari Smriti M.S. Gate Work.,Under MLCFund Scheme Construction of M.S. Gate at Block Katehri meAkbarpur Iltifatganj Marg par Dandi Chaurha Par Purv mantri Late Ravindranath Tiwari Smriti M.S. Gate Work.,Please refer Tender documents. ,NA ,,Construction Works,Under MLCFund Scheme Construction of M.S. Gate  ,Tender,90.0,90.0,Ambedkarnagar,224122.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,05-Sep-2025 11:00 AM ,EE office up scidco,No ,No,"1,652",online,ayodhya,No,1,Fee/PreQual/Technical,.pdf,Under MLCFund Scheme Construction of M.S. Gate at Block Katehri meAkbarpur Iltifatganj Marg par,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,541/E E/Ayo/E Tender/MLC Ambedkarnagar/25-26 20.08.2025,2025_SCIDC_1067039_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
2,5522212,R. D. CONSTRUCTION COMPANY,08-Sep-2025 09:28 PM,Accepted-AOC,ok,12-Sep-2025 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,financial,,,,,,,,,,,,,,,AOC
