S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,FDR - Fixed Deposit,"1,16,000",No,fixed,,"Project Manager, U.P. Projects Corporation Ltd",Bareilly,24-Mar-2025 10:00 AM,03-Apr-2025 03:00 PM,24-Mar-2025 10:00 AM,03-Apr-2025 01:00 PM,NA ,NA ,24-Mar-2025 10:00 AM,03-Apr-2025 01:00 PM,09-Apr-2025 03:00 PM,1,Fee/PreQual/Technical,.pdf,Technical Bid Document,General manager,"General Manager, Zone-2, U.P. Projects Corporation Ltd. 14, Chandra Shekar Nagar Colony, Tulasherpur, Bareilly","11,800","Project Manager, U.P. Projects Corporation Ltd",Bareilly,No,"CONSTRUCTION OF CHAKRADHIKARI OFFICE WITH TOILET AND SPETIC TANK IN 04 NO. CIRCLES AT CENTRAL JAIL BAREILLY, DISTT-BAREILLY (U.P.)","CONSTRUCTION OF CHAKRADHIKARI OFFICE WITH TOILET AND SPETIC TANK IN 04 NO. CIRCLES AT CENTRAL JAIL BAREILLY, DISTT-BAREILLY (U.P.)","CONSTRUCTION OF CHAKRADHIKARI OFFICE WITH TOILET AND SPETIC TANK IN 04 NO. CIRCLES AT CENTRAL JAIL BAREILLY, DISTT-BAREILLY (U.P.) ",NA ,"58,00,000",Civil Works,NA ,Tender,180.0,180.0,bareilly,243122.0,NA ,NA ,NA ,BAREILLY,No ,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly,21/PCL/GM/ZONE-2/BLY/2024-25,2025_UPPRC_1020893_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Technical,Comparative,Rajeev Kumar Pandey,08-Apr-2025 03:22 PM,technical_1842324.pdf,General Manager,Internal,,Rajeev Kumar Pandey,26-Sep-2025 03:22 PM,finsummary_1842324.pdf (1001.18 KB),Finance,Financial summary,Rajeev Kumar Pandey,26-Sep-2025 03:21 PM,finance_1842324.pdf,BOQ Comparative Chart,General Manager,Internal,,Rajeev Kumar Pandey,08-Apr-2025 03:27 PM,09-Apr-2025 03:00 PM,techsummary_1842324.pdf (1001.18 KB),27-Sep-2025,"INR 5,790,008.45",180.0,Rajeev Kumar Pandey,26-Sep-2025 03:23 PM,AG4.pdf (798.00 KB),1,5098193,Ismaile Khan Contractor,02-Apr-2025 05:19 PM,Rejected-Finance,Being II lowest,26-Sep-2025 03:22 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-2 Bareilly,2025_UPPRC_1020893_1,21/PCL/GM/ZONE-2/BLY/2024-25,"CONSTRUCTION OF CHAKRADHIKARI OFFICE WITH TOILET AND SPETIC TANK IN 04 NO. CIRCLES AT CENTRAL JAIL BAREILLY, DISTT-BAREILLY (U.P.)",1.0,5098793.0,MISHRA AND SONS REALCON PRIVATE LIMITED,INR,"5,790,008.45",AOC
2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5098793,MISHRA AND SONS REALCON PRIVATE LIMITED,02-Apr-2025 07:48 PM,Accepted-AOC,Work Awarded to MISHRA AND SONS REALCON PRIVATE LIMITED,26-Sep-2025 03:23 PM,,,,,,,,,,AOC
