Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"3,103",Nil,Nil,No,Construction of Road from Paraspur Vasudevpur turn of Gram Sabha Shripur via Primary School Paraspur to the place of Sayer Mata near Siwan of Gram sabha Bhikhpur. (Length- 850 M),Construction of Road from Paraspur Vasudevpur turn of Gram Sabha Shripur via Primary School Paraspur to the place of Sayer Mata near Siwan of Gram sabha Bhikhpur. (Length- 850 M),Please Refer tender documents. ,Yes ,"38,90,000",Civil Works - Roads,CC Road ,Tender,90.0,180.0,Ballia,277001.0,"SE, RED, Circle-Azamgarh. ","OFFICE OF THE SUPERINTENDING ENGINEER, RURAL ENGINEERING DEPARTMENT, CIRCLE-AZAMGARH. Address- 2nd FLOOR, MANDALEEY VIKAS BHAWAN, SIDHARI-AZAMGARH, PINCODE-276001 ",03-Jun-2025 12:30 PM ,"SE, RED, Circle-Azamgarh.",No ,No,1.0,SBI Bank,31-May-2025 10:00 AM,17-Jun-2025 12:30 PM,31-May-2025 10:30 AM,16-Jun-2025 12:00 PM,31-May-2025 10:00 AM ,16-Jun-2025 11:00 AM ,31-May-2025 11:00 AM,16-Jun-2025 12:00 PM,18-Jul-2025 12:30 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE,91/RED/Cir Aza/Tender/25-26/dt 14.05.2025-1,2025_REDUP_1044681_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"SE, RED, Circle-Azamgarh.","OFFICE OF THE SUPERINTENDING ENGINEER, RURAL ENGINEERING DEPARTMENT, CIRCLE-AZAMGARH. Address- 2nd FLOOR, MANDALEEY VIKAS BHAWAN, SIDHARI-AZAMGARH, PINCODE-276001",1.0,Fee/PreQual/Technical,.pdf,Fee and EMD,"78,000",No,fixed,,Nil,Nil,AOC,Superintending Engineer RED,Internal,JET/Bond Clerk REDBallia DAO Ballia EE RED Ballia EE RED Mau,kunvar surendra pratap,10-Jul-2025 02:48 AM,18-Jul-2025 12:30 PM,techsummary_1896017.pdf (493.66 KB),Finance,In Financial Opening of Tender 02 Bids were received. The Financial Bid of PARIHAR ENTERPRISES is found Lowest Bid. His Quoted Amount is Rs- 3787758.10,kunvar surendra pratap,18-Jul-2025 01:58 PM,finance_1896017.pdf,BOQ Comparative Chart,Superintending Engineer RED,Internal,EE RED Ballia EE RED Mau DAO Ballia,kunvar surendra pratap,30-Jul-2025 06:40 PM,finsummary_1896017.pdf (1781.91 KB),Technical,In Technical Opening 02 Bids were received.,kunvar surendra pratap,17-Jun-2025 06:27 PM,technical_1896017.pdf,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE AZAMGARH CIRCLE,2025_REDUP_1044681_1,91/RED/Cir Aza/Tender/25-26/dt 14.05.2025-1,Construction of Road from Paraspur Vasudevpur turn of Gram Sabha Shripur via Primary School Paraspur to the place of Sayer Mata near Siwan of Gram sabha Bhikhpur. (Length- 850 M),1.0,5243976.0,PARIHAR ENTERPRISES,INR,"3,787,758.1",1.0,5244005.0,M/S RAJA RAM SINGH,14-Jun-2025 06:24 PM,Rejected-AOC,Rejected due to higher rate e-tender.,22-Sep-2025 04:13 PM,28-Aug-2025,"INR 3,787,758.1",180.0,kunvar surendra pratap,22-Sep-2025 04:13 PM,aoc.pdf (550.00 KB),Being L1 the Contract Awarded to PARIHAR ENTERPRISES,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Documents,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5243976.0,PARIHAR ENTERPRISES,14-Jun-2025 12:32 PM,Accepted-AOC,Being Lowest Bid or e-tender.,22-Sep-2025 04:13 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Section-6 Technical Financial Part-II of Bid.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
