Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"1,180",Nil,Nil,No,26-May-2025 10:00 AM,06-Jun-2025 02:00 PM,26-May-2025 10:00 AM,06-Jun-2025 12:00 PM,NA ,NA ,26-May-2025 10:00 AM,06-Jun-2025 12:00 PM,18-Jun-2025 12:00 PM,"Under District Ayodhya, Construction of Interlocking Road from Rajesh Singh house to Vivek and Rahul Singh house in Mednipur, Block Maya, Lot No 15","Under District Ayodhya, Construction of Interlocking Road from Rajesh Singh house to Vivek and Rahul Singh house in Mednipur, Block Maya, Lot No 15",Please refer Tender documents. ,NA ,"13,03,000",Civil Works,NA ,Tender,90.0,90.0,Ayodhya,225001.0,"EE RED AYODHYA, Vikas Bhawan, Ayodhya ","EE RED AYODHYA, Vikas Bhawan, Ayodhya ",30-May-2025 11:00 AM ,"EE RED AYODHYA, Vikas Bhawan, Ayodhya",No ,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fees and Technical Documents,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,68/EE RED AYODHYA/25-26 Dt 07/04/2025,2025_REDUP_1042787_15,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"EE RED AYODHYA, Vikas Bhawan, Ayodhya","EE RED AYODHYA, Vikas Bhawan, Ayodhya","26,060",No,percentage,2.0%,Nil,Nil,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE FAIZABAD CIRCLE||EE FAIZABAD,2025_REDUP_1042787_15,68/EE RED AYODHYA/25-26 Dt 07/04/2025,"Under District Ayodhya, Construction of Interlocking Road from Rajesh Singh house to Vivek and Rahul Singh house in Mednipur, Block Maya, Lot No 15",1,5221231,M/S SINGH CONSTRUCTIONS,28-May-2025 03:22 PM,Accepted-AOC,aOc,04-Sep-2025 08:37 AM,Er M K Lodhi EE RED Ayodhya,Internal,,Mahendra Kumar,04-Sep-2025 08:17 AM,finsummary_1892295.pdf (288.53 KB),Finance,Summary,Munesh Kumar Lodhi,23-Jun-2025 10:50 AM,,BOQ Comparative Chart,1.0,5221231.0,M/S SINGH CONSTRUCTIONS,INR,"1,453,681",Er Munesh Kumar Lodhi EE RED Ayodhya,Internal,"Er Munesh Kumar Lodhi EE RED Ayodhya, Er Amit Kant Pandey AE RED Ayodhya, Mr Somesh Verma DAO RED Ayodhya",Somesh Verma,15-Jun-2025 11:07 AM,18-Jun-2025 12:00 PM,techsummary_1892295.pdf (1648.45 KB),Technical,Summary,Munesh Kumar Lodhi,07-Jun-2025 08:55 AM,,04-Sep-2025,"INR 1,453,681",90.0,Mahendra Kumar,04-Sep-2025 08:37 AM,68_15.pdf (289.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,5221434,M/s Siyaram Construction,28-May-2025 04:30 PM,Rejected-Finance,Rejected,04-Sep-2025 08:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
