S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,4891642.0,GYANENDRA CHAUDHARY,INR,"8,366,224.81","Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Yogendra Bahadur Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,07-Feb-2025 05:52 PM,finsummary_1763953.pdf (116.37 KB),Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_995349_1,28/E-TENDER/MEERUT-ZONE/24-25 DATED 13-01-2025,REMAINING WORK OF CONSTRUCTION OF RESIDENCIAL BUILDING AT GOVT. ENGINEERING COLLEGE CHANDPUR DISTT. BIJNOR.,Technical,Technical Opened by Tender Committee,Rakesh Kumar Chaurasia,05-Feb-2025 04:07 PM,technical_1763953.pdf,Finance,Financial Opened by Tender Committee,Rakesh Kumar Chaurasia,07-Feb-2025 05:49 PM,finance_1763953.pdf,BOQ Comparative Chart,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Yogendra Bahadur Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,05-Feb-2025 04:15 PM,05-Feb-2025 04:30 PM,techsummary_1763953.pdf (750.64 KB),1,4891561,GAURAV ENTERPRISES,29-Jan-2025 11:53 AM,Rejected-Finance,Quoted Rates Are Higher,07-Feb-2025 05:52 PM,10-Feb-2025,"INR 8,366,224.81",182.0,Rakesh Kumar Chaurasia,24-Sep-2025 12:29 PM,WorkOrderRemResEngCollegeChandpurBijnorSigned.pdf (803.00 KB),Tendar Awarded,AOC,1,Fee/PreQual/Technical,.pdf,TECHNICAL,REMAINING WORK OF CONSTRUCTION OF RESIDENCIAL BUILDING AT GOVT. ENGINEERING COLLEGE CHANDPUR DISTT. BIJNOR.,REMAINING WORK OF CONSTRUCTION OF RESIDENCIAL BUILDING AT GOVT. ENGINEERING COLLEGE CHANDPUR DISTT. BIJNOR.,Please refer Tender documents. ,NA ,"83,71,248",Civil Works - Buildings,NA ,Tender,90.0,182.0,CHANDPUR BIJNOR,246725.0,NA ,NA ,NA ,MEERUT,No ,No,"Rakesh Kumar Chaurasia, SE","Office of SE, 41 Basant Vihar, Kila Road, Meerut","1,67,500",No,fixed,,EE UPRNSS,BIJNORE,1,FDR - Fixed Deposit,"1,947",EE UPRNSS,BIJNORE,No,20-Jan-2025 04:30 PM,01-Feb-2025 02:00 PM,20-Jan-2025 04:30 PM,01-Feb-2025 02:00 PM,NA ,NA ,20-Jan-2025 04:30 PM,01-Feb-2025 02:00 PM,05-Feb-2025 04:30 PM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,28/E-TENDER/MEERUT-ZONE/24-25 DATED 13-01-2025,2025_UPRNS_995349_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4891642,GYANENDRA CHAUDHARY,29-Jan-2025 12:16 PM,Accepted-AOC,L-1,24-Sep-2025 12:30 PM,,,,,,,,AOC,2,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
