Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E. ETC-II Varanasi||E.E. ETD-Ghazipur,2025_UPTCL_1063875_1,08/ETD/GZP/2025-26,Supply,1.0,5458932.0,Vishal Maheshawari and Co.,INR,"55,200",1,5459685,M/S Maa Enterprises,19-Aug-2025 01:58 PM,Rejected-Finance,high bids,17-Sep-2025 04:48 PM,17-Sep-2025,"INR 55,200",180.0,Rahul Sharma,17-Sep-2025 04:54 PM,1658.pdf (683.00 KB),rahul sharma,Internal,dilip kumar sanjeev kumar,Rahul Sharma,17-Sep-2025 04:48 PM,finsummary_1938763.pdf (87.27 KB),Technical,All Five Bide Submited,Rahul Sharma,20-Aug-2025 03:34 PM,,Rahul sharma,Internal,dilip kumar sanjeev kumar,Rahul Sharma,21-Aug-2025 06:24 PM,22-Aug-2025 10:30 AM,techsummary_1938763.pdf (87.27 KB),Finance,All five bids admitted,Rahul Sharma,22-Aug-2025 05:02 PM,,BOQ Comparative Chart,AOC,"2,000",Yes,fixed,,ETD Ghazipur,SBI Ghazipur,UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TE) East Allahabad||S.E. ETC-II Varanasi||E.E. ETD-Ghazipur,08/ETD/GZP/2025-26,2025_UPTCL_1063875_1,Yes,Open Tender,Item Rate,Goods,3.0,No,No,Offline,No,No,No,590.0,EE ETD Ghazipur,SBI Ghazipur,No,EE ETD Ghaipur,220 KV sub station ghazipur,Supply,Supply of Outdoor type Termination Kit for 36KV 1x63Sqr mm Copper conductor power cable,Please Refer Tender Document ,NA ,,Electrical Work/ Equipment,NA ,Rate Contract,180.0,180.0,132 KV Sub Station Ghazipur,233002.0,NA ,NA ,NA ,ETD Ghazipur,No ,No,1.0,Fee,.pdf,Tender Notice,08-Aug-2025 09:00 AM,20-Aug-2025 02:00 PM,08-Aug-2025 09:00 AM,19-Aug-2025 02:00 PM,08-Aug-2025 09:00 AM ,19-Aug-2025 09:00 AM ,08-Aug-2025 09:00 AM,19-Aug-2025 02:00 PM,22-Aug-2025 10:30 AM,1.0,RTGS - RTGS Payment,AOC
,,,,,,,,,2,5432376,M/S Transco Construction,17-Aug-2025 06:55 PM,Rejected-Finance,high bids,17-Sep-2025 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Tender Document,,,,,,,,,,,,AOC
,,,,,,,,,3,5444310,R.S.ASSOCIATE,17-Aug-2025 06:09 PM,Rejected-Finance,high bids,17-Sep-2025 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
,,,,,,,,,4,5451299,United Engineers,18-Aug-2025 06:16 PM,Rejected-Finance,high bids,17-Sep-2025 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5458932,Vishal Maheshawari and Co.,19-Aug-2025 12:39 PM,Accepted-AOC,low bids,17-Sep-2025 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
