Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,366 Date 13-05-2025,2025_REDUP_1049180_34,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED,Vikash Bhavan Varanasi,1.0,SBI Bank,854.0,Nil,Nil,No,Shri Avadhnarayan tripathi ke makan ke pahle se purab shri manoj singh ke makan se shri pappu singh ke makan tak vaya mahendra singh ki dukan tak interlocking karya.,Shri Avadhnarayan tripathi ke makan ke pahle se purab shri manoj singh ke makan se shri pappu singh ke makan tak vaya mahendra singh ki dukan tak interlocking karya.,Please refer Tender documents. ,NA ,"19,66,000",Civil Works,NA ,Tender,90.0,90.0,Vikash Bhavan Varanasi,221002.0,NA ,NA ,NA ,Vikash Bhavan Varanasi,No ,No,"39,320",Yes,percentage,2.0%,Nil,Nil,19-Jun-2025 12:00 PM,19-Jul-2025 12:30 PM,19-Jun-2025 12:00 PM,19-Jul-2025 12:00 PM,NA ,NA ,19-Jun-2025 12:00 PM,19-Jul-2025 12:00 PM,26-Jul-2025 12:00 PM,1,Fee/PreQual/Technical,.pdf,Tender doc,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2025_REDUP_1049180_34,366 Date 13-05-2025,Shri Avadhnarayan tripathi ke makan ke pahle se purab shri manoj singh ke makan se shri pappu singh ke makan tak vaya mahendra singh ki dukan tak interlocking karya.,1,5356503,K C CONSTRUCTION,19-Jul-2025 09:20 AM,Accepted-AOC,L1,20-Sep-2025 01:48 PM,1.0,5356503.0,K C CONSTRUCTION,INR,"1,912,418.19",EE,Internal,,SHAILENDRA PRASAD,28-Jul-2025 04:29 PM,finsummary_1907174.pdf (110.00 KB),Finance,Admitted,SHAILENDRA PRASAD,26-Jul-2025 03:02 PM,,BOQ Comparative Chart,Technical,Admitted,SHAILENDRA PRASAD,23-Jul-2025 04:38 PM,,20-Sep-2025,"INR 1,912,418.19",90.0,SHAILENDRA PRASAD,20-Sep-2025 01:48 PM,1383.pdf (729.00 KB),EE,Internal,,SHAILENDRA PRASAD,23-Jul-2025 06:31 PM,26-Jul-2025 12:00 PM,techsummary_1907174.pdf (765.62 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,AOC,,,,,2,5355175,M/S S.V. CONSTRUCTION,19-Jul-2025 09:35 AM,Rejected-Finance,L2,28-Jul-2025 04:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
