Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2025_SCIDC_1067568_1,546-13/E.E. BLY/E-Tender/PBT/2025-26 Dt. 22.08.2025,Construction of C.C. Road at Vill. Behta in Paani wali Tanki to Dr. Ram Narayan House (Vidhayak Nidhi),1.0,5506422.0,Ramvati Contractor,INR,"912,634.07",1.0,5506689.0,RAJENDRA KUMAR,29-Aug-2025 01:01 AM,Rejected-AOC,IInd Lowest Rate,20-Sep-2025 06:53 PM,08-Sep-2025,"INR 912,634.07",60.0,Charan Singh Arya,20-Sep-2025 06:53 PM,LOI13.pdf (765.00 KB),Contract Value Rs. 912634.07,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,08-Sep-2025 01:34 PM,finsummary_1947368.pdf (742.06 KB),Technical,Technical Bid Opening Summary,Charan Singh Arya,06-Sep-2025 01:04 PM,technical_1947368.pdf,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,06-Sep-2025 02:41 PM,06-Sep-2025 03:00 PM,techsummary_1947368.pdf (297.80 KB),Finance,Financial Bid Opening Summary,Charan Singh Arya,08-Sep-2025 01:15 PM,finance_1947368.pdf,BOQ Comparative Chart,AOC,1,Fee,.pdf,Tender Fee and EMD,1.0,RTGS - RTGS Payment,"18,300",No,fixed,,EE UPSCIDCO,Pilibhit,22-Aug-2025 04:30 PM,29-Aug-2025 02:00 PM,22-Aug-2025 04:30 PM,29-Aug-2025 01:00 PM,NA ,NA ,22-Aug-2025 04:30 PM,29-Aug-2025 01:00 PM,06-Sep-2025 03:00 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,546-13/E.E. BLY/E-Tender/PBT/2025-26 Dt. 22.08.2025,2025_SCIDC_1067568_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,Construction of C.C. Road at Vill. Behta in Paani wali Tanki to Dr. Ram Narayan House (Vidhayak Nidhi),Construction of C.C. Road at Vill. Behta in Paani wali Tanki to Dr. Ram Narayan House (Vidhayak Nidhi),Construction of C.C. Road at Vill. Behta in Paani wali Tanki to Dr. Ram Narayan House (Vidhayak Nidhi) ,NA ,"9,14,463",Civil Works - Roads,Construction of C.C. Road at Vill. Behta  ,Tender,90.0,60.0,Pilibhit,262001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,Executive Engineer Officer,"UPSCIDCO, 154 Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly","1,062",EE UPSCIDCO,Pilibhit,No,AOC
,,,,,,,,,2.0,5506422.0,Ramvati Contractor,28-Aug-2025 09:37 PM,Accepted-AOC,Ist Lowest Rate,20-Sep-2025 06:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,PreQual/Technical,.pdf,Tender Notice and BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
