Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,200",PROJECT DIRECTOR,DUDA FATEHGARH,No,22-Aug-2025 09:00 AM,08-Sep-2025 03:00 PM,22-Aug-2025 09:00 AM,06-Sep-2025 01:00 PM,NA ,NA ,22-Aug-2025 09:00 AM,06-Sep-2025 01:00 PM,1.0,DD - Demand Draft,"20,000",No,fixed,,PROJECT DIRECTOR,DUDA FATEHGARH,PROJECT OFFICER,DUDA FATEHGARH,NAGAR PALIKA PARISHAD FARRUKHABAD ME JNV ROAD SE MOHALLA SHIVPURAM COLONY ME RAM KRISHNA YADAV KE MAKAN SE RAM NIVAS PAL KE MAKAN TAK NALI AVAM INTERLOCKING SARAK NIRMAN KARYA,NIRMAN KARYA,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,30.0,30.0,DUDA FATEHGARH,209601.0,NA ,NA ,NA ,DUDA FATEHGARH,No ,No,State Urban Development Agency||District Urban Development Agency||Farrukhabad,152/DUDA/2025-26,2025_SUDA_1067393_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TECHNICAL,AOC,1,5518293,MS AMLESH RATHORE,05-Sep-2025 06:22 PM,Accepted-AOC,HIGHER,16-Sep-2025 04:47 PM,16-Sep-2025,"INR 986,367",90.0,Jitendra Singh Yadav,16-Sep-2025 04:47 PM,committee.pdf (1581.00 KB),TENDER COST,ARUN KUMAR SINGH,Internal,ASISTANT ENGINEER PROJECT OFFICER PROJECT DIRECTER,Jitendra Singh Yadav,12-Sep-2025 11:28 AM,techsummary_1946697.pdf (1580.64 KB),State Urban Development Agency||District Urban Development Agency||Farrukhabad,2025_SUDA_1067393_1,152/DUDA/2025-26,NAGAR PALIKA PARISHAD FARRUKHABAD ME JNV ROAD SE MOHALLA SHIVPURAM COLONY ME RAM KRISHNA YADAV KE MAKAN SE RAM NIVAS PAL KE MAKAN TAK NALI AVAM INTERLOCKING SARAK NIRMAN KARYA,ARUN KUMAR SINGH,Internal,Asistant Engineer Project Officer Project Directer,Jitendra Singh Yadav,16-Sep-2025 02:30 PM,finsummary_1946697.pdf (1580.64 KB),Finance,Technical committee,Jitendra Singh Yadav,11-Sep-2025 05:01 PM,finance_1946697.pdf,BOQ Comparative Chart,1,5518293,MS AMLESH RATHORE,INR,"738,887",AOC
,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,FINANCIAL,AOC,2,5518888,M/S SHRI BANKE BIHARI CONSTGRUCTION AND SUPPLYER,06-Sep-2025 12:55 PM,Accepted-AOC,LOWEST,16-Sep-2025 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5518357,M/S SMT MADHURI MISHRA,INR,"809,708",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,5518357,M/S SMT MADHURI MISHRA,05-Sep-2025 06:59 PM,Accepted-AOC,HIGHER,16-Sep-2025 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5518575,Sri Banke Bihari Construction & Supplier,INR,"922,253",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,5518745,Shakti Enterprise,06-Sep-2025 12:02 PM,Accepted-AOC,HIGHER,16-Sep-2025 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5518745,Shakti Enterprise,INR,"838,412",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,5518575,Sri Banke Bihari Construction & Supplier,06-Sep-2025 11:04 AM,Accepted-AOC,HIGHER,16-Sep-2025 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5518888,M/S SHRI BANKE BIHARI CONSTGRUCTION AND SUPPLYER,INR,"690,752",AOC
