Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,2025_REDUP_1051853_5,421/EE/RED/Tender/25-26 Dt. 14-05-2025,Vikas Khand Gursarai ke gram Guda main Jharkhand ghasan nadi ke kinare sarbjanik karya hetu Sanskritik Teen shed ka nirman karya.,1.0,5349716.0,Vedika Enterprises,INR,"1,726,162",1,5304337,M/S PARI ASSOCIATE,11-Jul-2025 10:16 AM,Rejected-Finance,N,26-Sep-2025 12:19 PM,26-Sep-2025,"INR 1,726,162",180.0,RAJNEESH KUMAR,26-Sep-2025 12:21 PM,Guda_jharkhand.pdf (288.00 KB),FINAL,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,21-Aug-2025 12:29 PM,25-Aug-2025 12:30 PM,techsummary_1912170.pdf (186.09 KB),Finance,final,RAJNEESH KUMAR,26-Sep-2025 12:17 PM,finance_1912170.pdf,BOQ Comparative Chart,Rajneesh Kumar,Internal,EE AE DAO,RAJNEESH KUMAR,26-Sep-2025 12:19 PM,finsummary_1912170.pdf (288.41 KB),Technical,final,RAJNEESH KUMAR,21-Aug-2025 12:18 PM,technical_1912170.pdf,AOC,EE RED Jhansi,EE RED Jhansi,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,SBD,Vikas Khand Gursarai ke gram Guda main Jharkhand ghasan nadi ke kinare sarbjanik karya hetu Sanskritik Teen shed ka nirman karya.,Vikas Khand Gursarai ke gram Guda main Jharkhand ghasan nadi ke kinare sarbjanik karya hetu Sanskritik Teen shed ka nirman karya.,Please refer Tender documents. ,NA ,"17,38,000",Civil Works,NA ,Tender,90.0,180.0,Vikas Khand Gursarai ke gram Guda main Jharkhand g,284003.0,NA ,NA ,NA ,EE RED Jhansi,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JHANSI,421/EE/RED/Tender/25-26 Dt. 14-05-2025,2025_REDUP_1051853_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"87,000",Yes,fixed,,Nil,Nil,25-Jun-2025 03:00 PM,18-Jul-2025 03:30 PM,25-Jun-2025 03:00 PM,18-Jul-2025 12:00 PM,NA ,NA ,25-Jun-2025 03:00 PM,18-Jul-2025 12:00 PM,25-Aug-2025 12:30 PM,1.0,date1,Date,,"2,354",Nil,Nil,No,AOC
,,,,,,,,,2,5349716,Vedika Enterprises,18-Jul-2025 07:07 AM,Accepted-AOC,Y,26-Sep-2025 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
