Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2025_SCIDC_1066964_2,532/E E/Ayo/E Tender/MLC Ambedkarnagar/25-26 20.08.2025,Under MLC Fund Scheme Construction of M.S. Gate at Block Akbarpur me Akbarpur - Dostpur Marg par,1.0,5522117.0,R. D. CONSTRUCTION COMPANY,INR,"911,000",1,5522147,M/S VK CONSTRUCTION CO.,08-Sep-2025 08:31 PM,Rejected-Finance,not ok,12-Sep-2025 02:42 PM,12-Sep-2025,"INR 911,000",90.0,Jagpal Verma,12-Sep-2025 05:08 PM,LOI.pdf (511.00 KB),Under MLC Fund Scheme Construction of M.S. Gate at Block Akbarpur me Akbarpur - Dostpur Marg par,EE,Internal,A E Astt Actt,Jagpal Verma,12-Sep-2025 02:42 PM,finsummary_1954772.pdf (508.10 KB),Technical,Technical Bid opening summary,Jagpal Verma,11-Sep-2025 04:37 PM,technical_1954772.pdf,EE,Internal,A E Astt Actt,Jagpal Verma,11-Sep-2025 04:39 PM,11-Sep-2025 05:00 PM,techsummary_1954772.pdf (391.60 KB),Finance,Financial Bid opening summary,Jagpal Verma,12-Sep-2025 02:39 PM,finance_1954772.pdf,BOQ Comparative Chart,AOC,1,Fee/PreQual/Technical,.pdf,Under MLC Fund Scheme Construction of M.S. Gate at Block Akbarpur me Akbarpur - Dostpur Marg par,"20,000",No,fixed,,E E U P Scidco,Ayodhya,"1,652",online,ayodhya,No,04-Sep-2025 11:40 AM,09-Sep-2025 11:50 AM,04-Sep-2025 11:40 AM,09-Sep-2025 11:40 AM,NA ,NA ,04-Sep-2025 11:40 AM,09-Sep-2025 11:40 AM,11-Sep-2025 05:00 PM,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,Under MLC Fund Scheme Construction of M.S. Gate at Block Akbarpur me Akbarpur - Dostpur Marg par,Under MLC Fund Scheme Construction of M.S. Gate at Block Akbarpur me Akbarpur - Dostpur Marg par Sthit Bewana esa Nempur Road par.,Please refer Tender documents. ,NA ,,Construction Works,Under MLC Fund Scheme Construction of M.S. Gate  ,Tender,90.0,90.0,Ambedkarnagar,224122.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,05-Sep-2025 11:00 AM ,EE office up scidco,No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,532/E E/Ayo/E Tender/MLC Ambedkarnagar/25-26 20.08.2025,2025_SCIDC_1066964_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,FDR - Fixed Deposit,AOC
,,,,,,,,,2,5522117,R. D. CONSTRUCTION COMPANY,09-Sep-2025 11:38 AM,Accepted-AOC,ok,12-Sep-2025 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,AOC
