Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE BASTI,2025_REDUP_1065294_4,823/RED/VN-Rudhauli/2025-26 Dt. 17.07.25,Bhanpur tenuwa asnhara marg se karmahiya bazar se turkauliya urf karmahiya baudh vihar tak cc road ka nirman karya,1.0,5458817.0,M/S SUSHAMA PANDEY CONTRACTOR,INR,"1,390,716.2",1,5458895,M/S BANSHI DHAR PANDEY,21-Aug-2025 12:10 AM,Rejected-Finance,R,29-Aug-2025 11:45 AM,04-Sep-2025,"INR 1,390,716.2",90.0,Ankur Verma,04-Sep-2025 07:38 PM,4.pdf (22.00 KB),a,ER ANKUR VERMA,Internal,ee,Ankur Verma,23-Aug-2025 11:47 AM,25-Aug-2025 12:00 PM,techsummary_1941945.pdf (529.86 KB),Finance,c,Ankur Verma,25-Aug-2025 02:32 PM,,BOQ Comparative Chart,ER ANKUR VERMA,Internal,EE,Ankur Verma,29-Aug-2025 11:45 AM,finsummary_1941945.pdf (22.03 KB),Technical,c,Ankur Verma,23-Aug-2025 11:16 AM,,AOC,1,Fee/PreQual/Technical,.pdf,technical,1.0,date1,Date,,"28,000",Yes,fixed,,Nil,Nil,944.0,Nil,Nil,No,EERED BASTI,O/O EERED BASTI,13-Aug-2025 12:30 PM,21-Aug-2025 12:30 PM,13-Aug-2025 12:30 PM,21-Aug-2025 12:00 PM,13-Aug-2025 12:30 PM ,21-Aug-2025 12:00 PM ,13-Aug-2025 12:30 PM,21-Aug-2025 12:00 PM,25-Aug-2025 12:00 PM,Bhanpur tenuwa asnhara marg se karmahiya bazar se turkauliya urf karmahiya baudh vihar tak cc road ka nirman karya,Bhanpur tenuwa asnhara marg se karmahiya bazar se turkauliya urf karmahiya baudh vihar tak cc road ka nirman karya,as per sbd ,NA ,"13,91,000",Civil Works,NA ,Tender,90.0,90.0,WORKS,272001.0,NA ,NA ,NA ,O/O EERED BASTI,No ,No,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE BASTI CIRCLE||EE BASTI,823/RED/VN-Rudhauli/2025-26 Dt. 17.07.25,2025_REDUP_1065294_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5458817,M/S SUSHAMA PANDEY CONTRACTOR,20-Aug-2025 11:43 PM,Accepted-AOC,a,04-Sep-2025 07:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
