Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly||ID, bareilly",2025_UPIDC_1050162_1,02EE/IDB/2025-26,Repairing of Second Inspection Road from km 8.150 to 8.700 and from Km 12.000 To 13.150 of Baigul Dam.,1.0,5337846.0,M/S TANISHAQ ENTERPRISES,INR,"659,781.65",1,5339779,alarsalan contractor and genrel supplire,16-Jul-2025 02:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Jul-2025 04:46 PM,23-Aug-2025,"INR 659,781.65",30.0,vinod kumar gupta,03-Sep-2025 06:35 PM,SecondRoad.pdf (315.00 KB),AOC,EE ID BAREILLY,External,EE RCD BAREILLY,vinod kumar gupta,06-Aug-2025 07:04 PM,finsummary_1908538.pdf (2705.75 KB),Technical,05 BIDS RECEIVE OUT OF WHICH 04 BIDS HAVE BEN QUALIFIED CONTRACTOR.,vinod kumar gupta,23-Jul-2025 04:46 PM,technical_1908538.pdf,EE ID BAREILLY,External,EE RCD BAREILLY,vinod kumar gupta,23-Jul-2025 04:50 PM,25-Jul-2025 04:00 PM,techsummary_1908538.pdf (2705.75 KB),Finance,04 BIDS RECEIVED OF WHICH LOWEST BID AWARDED CONTRACT,vinod kumar gupta,06-Aug-2025 06:58 PM,finance_1908538.pdf,BOQ Comparative Chart,AOC,766.0,Nil,Nil,No,"23,380",No,fixed,,Nil,Nil,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||V Circle Irrigation Works, Bareilly||ID, bareilly",02EE/IDB/2025-26,2025_UPIDC_1050162_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Repairing of Second Inspection Road from km 8.150 to 8.700 and from Km 12.000 To 13.150 of Baigul Dam.,Repairing of Second Inspection Road from km 8.150 to 8.700 and from Km 12.000 To 13.150 of Baigul Dam.,Please refer Tender documents. ,NA ,"11,69,000",Civil Works,NA ,Tender,90.0,30.0,Baigul,263148.0,NA ,NA ,NA ,EE ID BAREILLY,No ,No,11-Jul-2025 09:00 AM,16-Jul-2025 03:30 PM,11-Jul-2025 10:00 AM,16-Jul-2025 03:00 PM,NA ,NA ,11-Jul-2025 10:00 AM,16-Jul-2025 03:00 PM,25-Jul-2025 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,EE ID BAREILLY,EE ID BAREILLY,AOC
,,,,,,,,,2,5333866,M/S MOHD ISRAR CONSTRUCTION COMPANY,16-Jul-2025 11:13 AM,Rejected-Finance,Reject,06-Aug-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,3,5335487,m/s mohd.sajid thekedar,16-Jul-2025 12:19 AM,Rejected-Finance,Reject,06-Aug-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5334045,M/S SACHIN CHANDANI THEKEDAR,15-Jul-2025 06:49 PM,Rejected-Finance,Reject,06-Aug-2025 07:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5337846,M/S TANISHAQ ENTERPRISES,16-Jul-2025 09:54 AM,Accepted-AOC,ACCEPTED,03-Sep-2025 06:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
