EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,65,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"Replacement of chequered plate on super structure of Okhla Barrage, New Delhi.","Replacement of chequered plate on super structure of Okhla Barrage, New Delhi.","Replacement of chequered plate on super structure of Okhla Barrage, New Delhi. ",NA ,"82,44,000",Civil Works,NA ,Tender,90.0,240.0,OKHLA,110020.0,NA ,NA ,NA ,SE IWC1K Kanpur,No ,No,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur,11/IWC1K/25-26,2025_UPIDM_1055284_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,360",Nil,Nil,No,08-Jul-2025 04:00 PM,28-Jul-2025 01:00 PM,08-Jul-2025 04:00 PM,28-Jul-2025 12:00 PM,NA ,NA ,08-Jul-2025 04:00 PM,28-Jul-2025 12:00 PM,12-Aug-2025 11:30 AM,SE IWC1K Kanpur,SE IWC1K Kanpur,AOC,Finance,All Bidder successfully Admitted,Vijay Kumar,12-Aug-2025 12:55 PM,,BOQ Comparative Chart,SE,Internal,,Vijay Kumar,12-Aug-2025 11:22 AM,12-Aug-2025 11:30 AM,techsummary_1920168.pdf (385.25 KB),Technical,All bidder successfully admitted,Vijay Kumar,29-Jul-2025 01:34 PM,,SE,Internal,,Vijay Kumar,12-Aug-2025 01:00 PM,finsummary_1920168.pdf (385.25 KB),25-Aug-2025,"INR 7,813,476",240.0,Vijay Kumar,11-Sep-2025 04:25 PM,19Aoc.pdf (507.00 KB),AOC,1,5373602,pawan kumar,28-Jul-2025 11:25 AM,Accepted-AOC,contract has been Awarded,11-Sep-2025 04:25 PM,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur,2025_UPIDM_1055284_3,11/IWC1K/25-26,"Replacement of chequered plate on super structure of Okhla Barrage, New Delhi.",1.0,5373602.0,pawan kumar,INR,"7,813,476",AOC
,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5373034,RAJEEV JOHRI,24-Jul-2025 11:04 PM,Rejected-Finance,2st lowest,12-Aug-2025 01:00 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5371485,SHIV RAM ENTERPRISES,26-Jul-2025 02:55 PM,Rejected-Finance,3rd lowest,12-Aug-2025 01:00 PM,,,,,,,,,,AOC
