Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1,Fee/PreQual/Technical,.pdf,EMD free and Technical Document,Vikash Khand chandauli ke gram panchayat Parasi khurd me Murahoo yadav ke khet se Jogi maurya ke ghar (kuwa) tak CC road nirman kary.,Vikash Khand chandauli ke gram panchayat Parasi khurd me Murahoo yadav ke khet se Jogi maurya ke ghar (kuwa) tak CC road nirman kary.,Please refer Tender documents. ,NA ,"10,77,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Chandauli,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,235/RED/Chandauli/25-26 Date-31-05-2025,2025_REDUP_1047819_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"22,000",No,fixed,,Nil,Nil,11-Jun-2025 06:50 PM,01-Jul-2025 12:30 PM,11-Jun-2025 06:50 PM,01-Jul-2025 12:00 PM,NA ,NA ,11-Jun-2025 06:50 PM,01-Jul-2025 12:00 PM,21-Jul-2025 11:00 AM,1.0,SBI Bank,"1,016",Nil,Nil,No,EE RED Chandauli,EE RED Chandauli,AOC,EE RED Chandauli,Internal,1 AE RED Chanduali 2 DAO RED Chandauli,INDRAJEET SINGH,17-Jul-2025 04:10 PM,21-Jul-2025 11:00 AM,techsummary_1903827.pdf (261.41 KB),Finance,bid received,INDRAJEET SINGH,21-Jul-2025 12:47 PM,,BOQ Comparative Chart,EE RED Chandauli,Internal,1 AE RED chandauli 2 DAO RED chandauli,INDRAJEET SINGH,25-Jul-2025 04:04 PM,finsummary_1903827.pdf (447.99 KB),Technical,bids received,INDRAJEET SINGH,17-Jul-2025 04:05 PM,,1,5281456,BAGHEL CONSTRUCTION CO,30-Jun-2025 09:59 PM,Rejected-Finance,Reject due to higher rate,25-Jul-2025 04:04 PM,1.0,5281407.0,S K SINGH,INR,"1,073,857",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2025_REDUP_1047819_1,235/RED/Chandauli/25-26 Date-31-05-2025,Vikash Khand chandauli ke gram panchayat Parasi khurd me Murahoo yadav ke khet se Jogi maurya ke ghar (kuwa) tak CC road nirman kary.,05-Aug-2025,"INR 1,073,857",90.0,Aniruddh Kumar Yadav,28-Sep-2025 01:00 PM,Parasikhurd.pdf (460.00 KB),AOC
2,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5281407,S K SINGH,30-Jun-2025 11:28 PM,Accepted-AOC,1st Lowest,28-Sep-2025 01:00 PM,,,,,,,,,,,,,,,,AOC
