Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
24-May-2025,"INR 627,838",90.0,Rajesh Chaudhary,25-Sep-2025 05:06 PM,chirgaonaoc.pdf (682.00 KB),The work is awarded to M/s Govind Das Arya,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,2025_SCIDC_1036828_1,33/EE/Jhansi/ET/2025-26,"Janpad Jhansi ke Block Chirgaon Vidhansabha Babina ke Chirgaon nagar me ramnagar road Jagat Vikram ke makan se Saket Nagar ki or 150 mtr apex/drain ka nirman karya. Under Scheme SN 2024-25 Hon ble Shri Anurag Sharma Ji, MP, Jhansi-Lalitpur",1.0,5191876.0,M/S GOVIND DAS ARYA,INR,"627,838",1,5191876,M/S GOVIND DAS ARYA,15-May-2025 04:07 PM,Accepted-AOC,The rates quoted by the contractor are the lowest,25-Sep-2025 05:07 PM,Finance,Financial Summary,Rajesh Chaudhary,23-May-2025 03:14 PM,finance_1878445.pdf,BOQ Comparative Chart,EE,Internal,AE Asstt Acctt,Rajesh Chaudhary,20-May-2025 11:18 AM,20-May-2025 04:00 PM,techsummary_1878445.pdf (664.92 KB),Technical,Technical Summary,Rajesh Chaudhary,20-May-2025 11:17 AM,technical_1878445.pdf,EE,Internal,AE Asstt Acctt,Rajesh Chaudhary,23-May-2025 03:17 PM,finsummary_1878445.pdf (651.26 KB),AOC,08-May-2025 11:00 AM,16-May-2025 02:00 PM,08-May-2025 11:00 AM,16-May-2025 01:30 PM,08-May-2025 11:00 AM ,16-May-2025 01:00 PM ,08-May-2025 11:00 AM,16-May-2025 01:30 PM,20-May-2025 04:00 PM,"Janpad Jhansi ke Block Chirgaon Vidhansabha Babina ke Chirgaon nagar me ramnagar road Jagat Vikram ke makan se Saket Nagar ki or 150 mtr apex/drain ka nirman karya. Under Scheme SN 2024-25 Hon ble Shri Anurag Sharma Ji, MP, Jhansi-Lalitpur","Janpad Jhansi ke Block Chirgaon Vidhansabha Babina ke Chirgaon nagar me ramnagar road Jagat Vikram ke makan se Saket Nagar ki or 150 mtr apex/drain ka nirman karya. Under Scheme SN 2024-25 Hon ble Shri Anurag Sharma Ji, MP, Jhansi-Lalitpur",Please refer the tender document ,NA ,,Civil Works - Others,NA ,Tender,90.0,90.0,Chirgaon,284301.0,NA ,NA ,NA ,Jhansi,No ,No,"13,000",Yes,fixed,,UPSCIDCO,Jhansi,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,33/EE/Jhansi/ET/2025-26,2025_SCIDC_1036828_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,Executive Engineer,UPSCIDCO Jhansi,1,Fee/PreQual/Technical,.pdf,Technical Document,"1,062",UPSCIDCO,Jhansi,Yes,AOC
,,,,,,,,,,,,,,,,2,5191525,M/S OM PRAKASH ARYA,15-May-2025 02:05 PM,Rejected-Finance,High Rate,23-May-2025 03:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ Document,,,,,AOC
