EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"27,240",Yes,percentage,2.0%,Nil,Nil,1.0,SBI Bank,EE RED,Vikash Bhavan Varanasi,30-Jun-2025 12:00 PM,15-Jul-2025 12:30 PM,30-Jun-2025 12:00 PM,15-Jul-2025 12:00 PM,NA ,NA ,30-Jun-2025 12:00 PM,15-Jul-2025 12:00 PM,16-Jul-2025 12:00 PM,Sigra Word No- 53 Gandhi Nagar Colony me Ajeet singh Bagga ke Awas se Dr. Jayant Tapodar ke Awas tak Sadak Nirman karya .,Sigra Word No- 53 Gandhi Nagar Colony me Ajeet singh Bagga ke Awas se Dr. Jayant Tapodar ke Awas tak Sadak Nirman karya .,Please refer Tender documents. ,NA ,"13,62,000",Civil Works,NA ,Tender,90.0,90.0,Vikash Bhavan Varanasi,221002.0,NA ,NA ,NA ,Vikash Bhavan Varanasi,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,872 Date 23-06-2025,2025_REDUP_1052194_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Tender doc,766.0,Nil,Nil,No,AOC,Technical,Admitted,SHAILENDRA PRASAD,15-Jul-2025 02:57 PM,,EE,Internal,,SHAILENDRA PRASAD,16-Jul-2025 05:53 PM,finsummary_1913144.pdf (110.70 KB),Finance,Admitted,Pankaj Rai,16-Jul-2025 12:29 PM,,BOQ Comparative Chart,EE,Internal,,SHAILENDRA PRASAD,15-Jul-2025 02:58 PM,16-Jul-2025 12:00 PM,techsummary_1913144.pdf (540.99 KB),19-Sep-2025,"INR 1,292,531.24",90.0,SHAILENDRA PRASAD,19-Sep-2025 05:32 PM,1276.pdf (887.00 KB),1.0,5326566.0,M/S KRISHNA ENTERPRISES,INR,"1,292,531.24",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE VARANASI,2025_REDUP_1052194_3,872 Date 23-06-2025,Sigra Word No- 53 Gandhi Nagar Colony me Ajeet singh Bagga ke Awas se Dr. Jayant Tapodar ke Awas tak Sadak Nirman karya .,1,5326566,M/S KRISHNA ENTERPRISES,14-Jul-2025 07:10 PM,Accepted-AOC,L1,19-Sep-2025 05:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5326505,SHIV CONSTRUCTION,14-Jul-2025 02:10 PM,Rejected-Finance,L2,16-Jul-2025 05:53 PM,AOC
